session_id,window_id,window_start_sec,window_end_sec,phase,investigation_zone,heart_rate_bpm,rr_mean_ms,rmssd_ms,sdnn_ms,muse_delta_rel,muse_theta_rel,muse_alpha_rel,muse_beta_rel,muse_gamma_rel,muse_accel_mean_g,muse_accel_peak_g,bodycam_motion_score,bodycam_light_change_score,audio_rms_dbfs,audio_peak_dbfs,audio_transient_count,temperature_c,humidity_pct,environmental_noise_db,polar_signal_quality,muse_signal_quality,bodycam_signal_quality,artifact_flag
SITE_01_P01_A,SITE_01_P01_A_W013,120,130,before,baseline_station,65.7,913.9,42.6,60.8,0.26512,0.21762,0.24002,0.21603,0.06121,0.0257,0.1099,0.0144,0.0425,-45.6,-34.5,0,18.2,51.0,45.8,0.9515,0.9836,0.9861,False
SITE_01_P01_A,SITE_01_P01_A_W014,130,140,before,baseline_station,64.9,925.1,46.6,54.7,0.25928,0.21043,0.22665,0.24956,0.05407,0.0398,0.1283,0.0389,0.0632,-42.9,-33.4,0,17.9,51.3,47.5,0.979,0.9555,0.9784,False
SITE_01_P01_A,SITE_01_P01_A_W015,140,150,before,baseline_station,71.1,844.0,44.5,56.2,0.26375,0.19976,0.26423,0.23755,0.03471,0.073,0.2956,0.2383,0.0931,-48.8,-35.9,0,17.8,50.9,42.6,0.9406,0.9264,0.9776,False
SITE_01_P01_A,SITE_01_P01_A_W016,150,160,before,baseline_station,67.8,884.8,33.0,43.6,0.28214,0.18445,0.2509,0.22934,0.05317,0.0644,0.1726,0.1221,0.0042,-45.6,-34.7,0,18.1,50.8,44.2,0.9237,0.9474,0.9722,False
SITE_01_P01_A,SITE_01_P01_A_W017,160,170,before,baseline_station,64.3,933.0,33.8,44.4,0.2643,0.21071,0.25615,0.22931,0.03953,0.023,0.096,0.0176,0.0507,-49.9,-38.1,0,18.0,51.6,38.5,0.9612,0.9671,0.9831,False
SITE_01_P01_A,SITE_01_P01_A_W018,170,180,before,baseline_station,64.1,936.2,51.6,65.4,0.25557,0.18753,0.27049,0.2356,0.05081,0.0353,0.1012,0.0869,0.0541,-47.3,-36.2,0,18.2,51.3,40.0,0.9421,0.9378,0.9758,False
SITE_01_P01_A,SITE_01_P01_A_W019,180,190,before,baseline_station,63.1,950.2,49.5,72.3,0.2713,0.19091,0.24521,0.24522,0.04735,0.032,0.1146,0.0259,0.0179,-51.9,-41.4,0,18.0,50.9,41.3,0.9505,0.9164,0.9911,False
SITE_01_P01_A,SITE_01_P01_A_W020,190,200,before,baseline_station,64.6,928.2,45.5,57.2,0.26285,0.20519,0.22761,0.25629,0.04806,0.018,0.0597,0.009,0.0788,-45.2,-31.8,0,18.0,50.5,43.3,0.9543,0.9471,0.9777,False
SITE_01_P01_A,SITE_01_P01_A_W021,200,210,before,baseline_station,65.8,911.4,48.5,65.6,0.29983,0.20702,0.20183,0.24956,0.04175,0.0409,0.1242,0.0733,0.0425,-47.0,-27.4,1,18.0,50.1,38.1,0.9781,0.9525,0.9769,False
SITE_01_P01_A,SITE_01_P01_A_W022,210,220,before,baseline_station,69.4,864.7,53.0,65.0,0.24617,0.20172,0.22229,0.27972,0.05009,0.0727,0.2017,0.2498,0.0588,-49.5,-32.1,1,17.8,49.7,37.2,0.9255,0.9401,0.9745,False
SITE_01_P01_A,SITE_01_P01_A_W023,220,230,before,baseline_station,63.5,945.3,45.2,53.6,0.28606,0.21295,0.20853,0.24953,0.04293,0.0546,0.1687,0.0807,0.0243,-49.0,-34.9,0,17.7,50.1,36.8,0.9561,0.9624,0.9768,False
SITE_01_P01_A,SITE_01_P01_A_W024,230,240,before,baseline_station,63.6,943.5,47.5,58.2,0.29241,0.18246,0.24293,0.2293,0.05289,0.0561,0.2165,0.1257,0.0603,-46.1,-36.4,0,17.5,49.7,37.3,0.961,0.9244,0.9814,False
SITE_01_P01_A,SITE_01_P01_A_W025,240,250,before,baseline_station,63.4,946.5,46.1,62.3,0.30351,0.21291,0.21057,0.21904,0.05397,0.0516,0.2192,0.1987,0.1454,-47.6,-36.5,0,17.6,49.1,39.0,0.9567,0.9244,0.9837,False
SITE_01_P01_A,SITE_01_P01_A_W026,250,260,before,baseline_station,63.2,948.9,50.1,67.3,0.2973,0.17158,0.24699,0.23559,0.04854,0.0372,0.1023,0.0965,0.0722,-45.9,-31.9,0,17.6,49.4,41.9,0.9573,0.9725,0.963,False
SITE_01_P01_A,SITE_01_P01_A_W027,260,270,before,baseline_station,70.9,846.1,42.1,53.6,0.27224,0.20169,0.25181,0.22005,0.05421,0.0737,0.2925,0.1722,0.0079,-45.6,-25.1,1,17.8,49.9,40.2,0.9653,0.9556,1.0,False
SITE_01_P01_A,SITE_01_P01_A_W028,270,280,before,baseline_station,65.9,910.0,41.9,54.1,0.29361,0.20794,0.2451,0.22588,0.02747,0.0438,0.1149,0.0425,0.0053,-47.3,-33.1,0,18.0,49.5,38.7,0.9718,0.9443,0.9707,False
SITE_01_P01_A,SITE_01_P01_A_W029,280,290,before,baseline_station,66.2,905.9,46.7,58.3,0.26993,0.19135,0.23803,0.25167,0.04902,0.0581,0.2592,0.1654,0.0103,-45.9,-32.3,0,17.9,49.8,37.1,0.9916,0.9518,0.9901,False
SITE_01_P01_A,SITE_01_P01_A_W030,290,300,before,baseline_station,57.9,1036.8,57.9,72.7,0.2764,0.17453,0.26692,0.23206,0.0501,0.0476,0.2078,0.1042,0.0079,-45.5,-35.6,0,18.0,49.3,39.5,0.9495,0.9559,0.9796,False
SITE_01_P01_A,SITE_01_P01_A_W031,300,310,during,zone_a,73.9,811.8,45.0,59.8,0.27942,0.17858,0.24127,0.24562,0.05511,0.0709,0.2465,0.1851,0.1294,-45.8,-27.0,1,18.4,49.8,39.5,0.9534,0.9508,0.9718,False
SITE_01_P01_A,SITE_01_P01_A_W032,310,320,during,zone_a,71.4,840.4,49.7,70.6,0.26648,0.19894,0.24532,0.24508,0.04417,0.0338,0.1364,0.0793,0.0083,-51.2,-39.9,0,18.2,49.9,41.4,0.9494,0.9849,0.981,False
SITE_01_P01_A,SITE_01_P01_A_W033,320,330,during,zone_a,78.5,764.1,49.8,61.6,0.26818,0.19273,0.23299,0.25434,0.05176,0.1102,0.4013,0.3727,0.1028,-46.3,-31.4,0,18.2,50.0,38.7,0.9274,0.8822,0.9697,False
SITE_01_P01_A,SITE_01_P01_A_W034,330,340,during,zone_a,69.0,869.9,49.1,61.4,0.29298,0.20403,0.24237,0.21206,0.04856,0.0673,0.1868,0.1471,0.0353,-45.6,-34.8,0,18.2,50.3,43.2,0.939,0.9612,0.9823,False
SITE_01_P01_A,SITE_01_P01_A_W035,340,350,during,zone_a,71.3,841.7,50.9,65.7,0.28842,0.20023,0.23526,0.22053,0.05556,0.0635,0.2618,0.1644,0.0068,-47.9,-35.4,0,18.1,50.6,39.8,0.9497,0.9443,0.9868,False
SITE_01_P01_A,SITE_01_P01_A_W036,350,360,during,zone_a,71.1,844.1,53.8,71.9,0.30676,0.18409,0.24927,0.22625,0.03363,0.0594,0.2294,0.1956,0.0152,-47.7,-32.9,0,18.1,50.2,39.8,0.9798,0.9402,0.9733,False
SITE_01_P01_A,SITE_01_P01_A_W037,360,370,during,zone_a,73.5,816.4,45.0,60.7,0.28462,0.21137,0.23092,0.23439,0.0387,0.0665,0.2457,0.1555,0.1554,-47.2,-37.1,0,18.2,50.2,38.0,0.9461,0.8991,0.9888,False
SITE_01_P01_A,SITE_01_P01_A_W038,370,380,during,zone_a,72.0,833.7,51.6,65.6,0.2742,0.20748,0.22224,0.24405,0.05204,0.0474,0.1697,0.0827,0.0503,-46.8,-36.4,0,18.0,50.7,37.7,0.9497,0.9468,0.9715,False
SITE_01_P01_A,SITE_01_P01_A_W039,380,390,during,zone_a,69.6,862.4,40.6,44.6,0.27806,0.19668,0.21225,0.25167,0.06133,0.0745,0.1982,0.2381,0.0304,-44.5,-30.3,0,18.1,51.4,41.6,0.9388,0.9658,0.9746,False
SITE_01_P01_A,SITE_01_P01_A_W040,390,400,during,zone_a,67.5,889.3,60.4,80.5,0.28645,0.21299,0.2304,0.23469,0.03547,0.0338,0.1397,0.0799,0.0424,-47.0,-33.2,0,18.3,51.8,34.4,0.9288,0.9416,0.983,False
SITE_01_P01_A,SITE_01_P01_A_W041,400,410,during,zone_a,70.4,852.7,58.0,68.9,0.27203,0.19104,0.24522,0.23274,0.05897,0.0515,0.1598,0.1073,0.0848,-47.8,-37.7,0,18.3,51.9,38.6,0.9565,0.96,0.9756,False
SITE_01_P01_A,SITE_01_P01_A_W042,410,420,during,zone_a,68.6,874.6,51.7,66.8,0.26841,0.1877,0.25377,0.24487,0.04526,0.0442,0.169,0.0849,0.0381,-48.1,-34.2,0,18.1,51.8,36.0,0.9709,0.9065,0.9811,False
SITE_01_P01_A,SITE_01_P01_A_W043,420,430,during,zone_a,70.1,856.4,56.8,76.2,0.27683,0.20668,0.23395,0.22965,0.05289,0.0556,0.2326,0.1401,0.0416,-47.4,-34.0,0,18.1,52.1,36.4,0.9518,0.9622,0.9817,False
SITE_01_P01_A,SITE_01_P01_A_W044,430,440,during,zone_a,69.7,860.7,53.3,65.6,0.29762,0.21745,0.22351,0.22166,0.03975,0.0638,0.2804,0.1453,0.0349,-45.5,-30.9,0,18.1,52.1,38.6,0.9276,0.9526,0.9738,False
SITE_01_P01_A,SITE_01_P01_A_W045,440,450,during,zone_a,65.2,920.9,64.5,79.3,0.25747,0.19198,0.26256,0.22908,0.05891,0.0364,0.0962,0.1062,0.0176,-48.1,-36.9,0,18.0,51.4,36.8,0.955,0.9946,0.9829,False
SITE_01_P01_A,SITE_01_P01_A_W046,450,460,during,zone_a,69.4,864.8,55.6,70.0,0.27766,0.19811,0.24513,0.22834,0.05076,0.0435,0.1336,0.081,0.0177,-47.5,-34.2,0,17.8,51.5,37.1,0.9852,0.9689,0.9707,False
SITE_01_P01_A,SITE_01_P01_A_W047,460,470,during,zone_a,65.0,923.5,52.4,71.8,0.24734,0.20827,0.26158,0.23368,0.04912,0.0473,0.1186,0.0752,0.0913,-46.4,-33.5,0,17.9,51.8,40.6,0.9386,0.9618,0.9857,False
SITE_01_P01_A,SITE_01_P01_A_W048,470,480,during,zone_a,63.6,943.5,47.2,60.9,0.26787,0.19169,0.24144,0.24686,0.05214,0.0413,0.1225,0.1346,0.1515,-44.7,-34.2,0,17.7,51.5,43.9,0.9744,0.8985,0.9837,False
SITE_01_P01_A,SITE_01_P01_A_W049,480,490,during,zone_a,73.5,816.5,44.7,52.7,0.27839,0.21362,0.22757,0.23962,0.04079,0.0597,0.1874,0.1003,0.0263,-48.7,-34.6,0,17.7,51.7,44.1,0.9955,0.9644,0.9959,False
SITE_01_P01_A,SITE_01_P01_A_W050,490,500,during,zone_a,69.2,866.7,35.6,45.4,0.25791,0.19276,0.2521,0.24199,0.05524,0.077,0.1953,0.1827,0.0243,-46.1,-35.0,0,17.7,51.5,43.9,0.9657,0.9401,0.9622,False
SITE_01_P01_A,SITE_01_P01_A_W051,500,510,during,zone_a,64.0,937.9,42.9,53.5,0.29094,0.18415,0.25788,0.22526,0.04177,0.0291,0.0807,0.0887,0.0256,-47.4,-34.8,0,17.7,50.5,42.5,0.9812,0.9468,0.9879,False
SITE_01_P01_A,SITE_01_P01_A_W052,510,520,during,zone_a,70.3,853.0,54.8,68.4,0.28961,0.18934,0.25377,0.21203,0.05524,0.0595,0.164,0.114,0.1178,-47.7,-37.3,0,17.8,50.0,43.2,0.939,0.9393,0.9943,False
SITE_01_P01_A,SITE_01_P01_A_W053,520,530,during,zone_a,69.3,866.1,61.0,75.5,0.27259,0.20185,0.23177,0.24605,0.04775,0.0473,0.1559,0.0926,0.0174,-45.8,-34.3,0,18.0,50.2,44.7,0.9572,0.9321,0.9885,False
SITE_01_P01_A,SITE_01_P01_A_W054,530,540,during,zone_a,68.8,872.7,54.9,71.3,0.28393,0.1783,0.23843,0.23371,0.06563,0.0293,0.1197,0.088,0.0022,-46.1,-36.6,0,18.3,50.3,39.7,0.9613,0.9785,0.99,False
SITE_01_P01_A,SITE_01_P01_A_W055,540,550,during,zone_a,69.7,860.5,55.1,70.4,0.28326,0.18558,0.2463,0.24157,0.0433,0.0431,0.1899,0.1674,0.0964,-47.4,-34.4,0,18.0,50.7,41.0,0.9443,0.8965,0.982,False
SITE_01_P01_A,SITE_01_P01_A_W056,550,560,during,zone_a,69.5,863.2,49.6,63.4,0.27506,0.19129,0.24443,0.23499,0.05423,0.0398,0.1723,0.1043,0.0887,-50.3,-35.7,0,17.9,51.0,42.0,0.942,0.9503,0.9815,False
SITE_01_P01_A,SITE_01_P01_A_W057,560,570,during,zone_a,70.1,855.9,54.9,65.0,0.25327,0.20823,0.26108,0.22776,0.04967,0.0533,0.2285,0.1097,0.0649,-47.2,-35.1,0,18.1,50.7,39.4,0.9396,0.915,0.9796,False
SITE_01_P01_A,SITE_01_P01_A_W058,570,580,during,zone_a,72.5,827.3,56.4,76.5,0.30298,0.17758,0.23826,0.24641,0.03478,0.0347,0.1013,0.1071,0.0155,-48.7,-38.9,0,18.0,50.6,39.1,0.9335,0.9466,0.9699,False
SITE_01_P01_A,SITE_01_P01_A_W059,580,590,during,zone_a,73.4,817.1,43.0,60.7,0.27559,0.19035,0.23956,0.25277,0.04172,0.0902,0.3989,0.2569,0.1258,-44.8,-32.3,0,18.0,50.9,43.9,0.9325,0.9075,0.9772,False
SITE_01_P01_A,SITE_01_P01_A_W060,590,600,during,zone_a,68.8,872.4,50.5,62.6,0.24453,0.19917,0.26071,0.24845,0.04715,0.0523,0.1635,0.1391,0.016,-45.3,-32.1,0,17.8,50.9,40.0,0.923,0.9616,0.9756,False
SITE_01_P01_A,SITE_01_P01_A_W061,600,610,during,zone_b,74.6,804.5,57.4,75.0,0.29364,0.19971,0.21909,0.23135,0.05621,0.064,0.2726,0.2017,0.0196,-44.7,-35.4,0,17.6,51.2,43.5,0.9543,0.9069,0.9863,False
SITE_01_P01_A,SITE_01_P01_A_W062,610,620,during,zone_b,68.9,871.2,49.3,59.6,0.29159,0.19695,0.22772,0.24398,0.03976,0.0605,0.2372,0.1221,0.0469,-45.9,-32.1,0,17.4,50.4,45.2,0.961,0.937,0.9565,False
SITE_01_P01_A,SITE_01_P01_A_W063,620,630,during,zone_b,70.3,852.9,48.6,63.4,0.25909,0.21498,0.25169,0.22748,0.04676,0.0633,0.259,0.1052,0.0408,-44.0,-32.7,0,17.6,49.8,44.9,0.9581,0.9524,0.9883,False
SITE_01_P01_A,SITE_01_P01_A_W064,630,640,during,zone_b,71.2,842.5,32.2,40.8,0.26631,0.18414,0.24818,0.25028,0.0511,0.0695,0.1846,0.1892,0.0592,-47.2,-35.6,0,17.9,49.5,43.7,0.9488,0.9439,0.976,False
SITE_01_P01_A,SITE_01_P01_A_W065,640,650,during,zone_b,64.7,927.5,42.7,49.4,0.29558,0.19799,0.22162,0.23518,0.04964,0.0645,0.2578,0.1369,0.0427,-47.9,-37.9,0,17.9,49.8,44.0,0.9659,0.9631,0.9979,False
SITE_01_P01_A,SITE_01_P01_A_W066,650,660,during,zone_b,71.0,844.9,38.3,46.8,0.30585,0.19968,0.23343,0.2156,0.04544,0.0831,0.3667,0.215,0.0285,-45.9,-36.2,0,18.4,51.2,44.5,0.9498,0.9271,0.9805,False
SITE_01_P01_A,SITE_01_P01_A_W067,660,670,during,zone_b,71.6,837.9,34.2,45.4,0.30145,0.21213,0.23074,0.22465,0.03104,0.0546,0.2311,0.1493,0.0256,-48.4,-34.5,0,18.3,51.5,42.2,0.9469,0.9145,0.9926,False
SITE_01_P01_A,SITE_01_P01_A_W068,670,680,during,zone_b,69.1,868.9,46.2,63.4,0.3055,0.16885,0.24326,0.23631,0.04607,0.0634,0.2181,0.1544,0.0604,-47.3,-37.9,0,18.3,51.1,43.7,0.947,0.9345,0.9592,False
SITE_01_P01_A,SITE_01_P01_A_W069,680,690,during,zone_b,66.4,903.5,49.0,67.8,0.27607,0.18944,0.25696,0.24635,0.03118,0.0592,0.2111,0.1095,0.041,-43.8,-30.5,0,18.1,51.3,44.1,0.972,0.9249,0.9963,False
SITE_01_P01_A,SITE_01_P01_A_W070,690,700,during,zone_b,68.5,876.3,40.0,50.0,0.30295,0.17901,0.25223,0.2176,0.0482,0.0535,0.1915,0.1418,0.0358,-47.3,-31.0,1,17.9,51.4,41.4,0.9622,0.9002,0.9855,False
SITE_01_P01_A,SITE_01_P01_A_W071,700,710,during,zone_b,70.1,856.4,33.1,42.6,0.30929,0.20095,0.24283,0.20866,0.03827,0.0859,0.3018,0.2172,0.0699,-48.1,-35.2,0,17.8,51.6,41.4,0.9665,0.9351,0.9601,False
SITE_01_P01_A,SITE_01_P01_A_W072,710,720,during,zone_b,68.4,876.8,31.7,43.6,0.27858,0.19958,0.27369,0.20979,0.03836,0.041,0.1357,0.1258,0.0165,-47.3,-34.0,0,17.8,51.1,44.0,0.9576,0.9574,0.9859,False
SITE_01_P01_A,SITE_01_P01_A_W073,720,730,during,zone_b,66.3,905.2,42.4,50.8,0.29716,0.19606,0.24466,0.21856,0.04357,0.045,0.181,0.0814,0.1416,-47.8,-30.2,1,17.9,51.3,40.0,0.9801,0.9249,0.9918,False
SITE_01_P01_A,SITE_01_P01_A_W074,730,740,during,zone_b,68.5,875.9,48.2,63.6,0.27814,0.20745,0.22926,0.23331,0.05183,0.0571,0.2216,0.1404,0.0119,-46.7,-36.9,0,18.1,51.5,44.3,0.9648,0.9599,0.9772,False
SITE_01_P01_A,SITE_01_P01_A_W075,740,750,during,zone_b,65.6,914.8,47.1,60.1,0.2872,0.18406,0.25329,0.22276,0.0527,0.0443,0.1953,0.0915,0.0231,-45.6,-32.4,0,18.4,51.5,43.2,0.9468,0.8895,0.978,False
SITE_01_P01_A,SITE_01_P01_A_W076,750,760,during,zone_b,67.3,892.0,58.0,77.2,0.27823,0.17748,0.27857,0.2224,0.04332,0.043,0.1814,0.1108,0.0446,-46.6,-32.1,0,18.3,51.6,42.9,0.9578,0.9746,0.9868,False
SITE_01_P01_A,SITE_01_P01_A_W077,760,770,during,zone_b,68.8,871.7,53.6,73.8,0.30508,0.18169,0.24095,0.22698,0.04531,0.0693,0.2363,0.1455,0.0286,-45.5,-31.7,0,18.5,51.5,40.9,0.9986,1.0,0.9805,False
SITE_01_P01_A,SITE_01_P01_A_W078,770,780,during,zone_b,67.2,892.9,52.9,68.2,0.30067,0.20366,0.22061,0.23409,0.04096,0.0333,0.0858,0.0922,0.0153,-44.6,-35.4,0,18.4,51.6,39.7,0.9426,0.9463,0.9743,False
SITE_01_P01_A,SITE_01_P01_A_W079,780,790,during,zone_b,68.0,882.6,58.4,79.5,0.28641,0.19405,0.23672,0.23147,0.05135,0.0773,0.2554,0.2088,0.0234,-47.7,-34.1,0,18.4,51.3,37.1,0.9724,0.9508,0.9707,False
SITE_01_P01_A,SITE_01_P01_A_W080,790,800,during,zone_b,71.4,839.9,48.9,67.1,0.28311,0.19845,0.24635,0.23512,0.03697,0.0644,0.1904,0.1767,0.0978,-49.6,-36.1,0,18.5,50.8,36.1,0.9751,0.944,0.9855,False
SITE_01_P01_A,SITE_01_P01_A_W081,800,810,during,zone_b,71.1,844.3,52.9,73.7,0.29549,0.21219,0.23344,0.21988,0.03901,0.0528,0.1325,0.1083,0.0459,-49.8,-39.5,0,18.4,51.5,36.0,0.9473,0.9437,0.9738,False
SITE_01_P01_A,SITE_01_P01_A_W082,810,820,during,zone_b,83.2,721.3,35.0,65.7,0.28588,0.18528,0.21732,0.27633,0.03519,0.0461,0.1612,0.1043,0.0609,-46.9,-31.6,3,18.4,51.8,43.3,0.9778,1.0,0.9779,False
SITE_01_P01_A,SITE_01_P01_A_W083,820,830,during,zone_b,78.2,767.2,47.6,81.5,0.2651,0.1992,0.24202,0.25909,0.03458,0.038,0.1329,0.0719,0.032,-47.2,-30.9,0,18.7,51.3,49.7,0.9361,0.9454,0.986,False
SITE_01_P01_A,SITE_01_P01_A_W084,830,840,during,zone_b,80.1,749.4,39.2,69.1,0.29339,0.17519,0.22047,0.2483,0.06266,0.0482,0.1687,0.1129,0.0992,-46.7,-29.2,0,18.7,51.1,45.4,0.9719,0.983,0.9759,False
SITE_01_P01_A,SITE_01_P01_A_W085,840,850,during,zone_b,80.2,748.4,43.5,80.1,0.26235,0.20628,0.21572,0.27177,0.04387,0.0452,0.1583,0.1009,0.1015,-47.7,-27.6,0,18.7,51.1,47.8,0.9525,0.959,0.9917,False
SITE_01_P01_A,SITE_01_P01_A_W086,850,860,during,zone_b,78.5,764.3,41.9,71.2,0.28358,0.16102,0.25327,0.25448,0.04764,0.0425,0.1487,0.09,0.041,-47.1,-30.9,0,18.6,51.5,47.1,0.9708,0.8984,0.9688,False
SITE_01_P01_A,SITE_01_P01_A_W087,860,870,during,zone_b,79.4,755.9,39.6,76.4,0.25572,0.19722,0.23066,0.27496,0.04144,0.0428,0.1497,0.0911,0.0579,-46.5,-29.4,0,18.4,51.5,47.8,0.9857,0.9582,0.9648,False
SITE_01_P01_A,SITE_01_P01_A_W088,870,880,during,zone_b,65.3,919.2,48.9,63.8,0.30877,0.20471,0.23047,0.19889,0.05716,0.051,0.1597,0.1262,0.1741,-45.8,-31.5,0,18.3,51.7,41.3,0.9519,0.9503,0.979,False
SITE_01_P01_A,SITE_01_P01_A_W089,880,890,during,zone_b,66.7,899.4,45.0,61.8,0.30154,0.18877,0.23838,0.22544,0.04587,0.0504,0.2213,0.0835,0.0201,-46.1,-32.9,0,18.6,51.5,40.1,0.9296,0.9487,0.9885,False
SITE_01_P01_A,SITE_01_P01_A_W090,890,900,during,zone_b,68.6,875.1,44.9,56.1,0.28777,0.20662,0.25059,0.20676,0.04827,0.082,0.2292,0.1709,0.0674,-47.0,-37.1,0,18.5,51.5,37.7,0.9787,0.9141,0.981,False
SITE_01_P01_A,SITE_01_P01_A_W091,900,910,during,zone_c,70.1,855.8,40.8,50.3,0.28284,0.19549,0.21712,0.24514,0.0594,0.0727,0.2749,0.1644,0.0379,-46.1,-35.8,0,18.4,50.8,43.0,0.9687,0.9233,0.9853,False
SITE_01_P01_A,SITE_01_P01_A_W092,910,920,during,zone_c,66.0,908.5,49.0,65.5,0.30265,0.20695,0.21841,0.22826,0.04373,0.0352,0.1124,0.0789,0.0583,-47.1,-36.4,0,18.2,50.5,42.4,0.969,0.9081,0.9937,False
SITE_01_P01_A,SITE_01_P01_A_W093,920,930,during,zone_c,69.5,863.7,55.7,74.3,0.27649,0.19505,0.22717,0.24777,0.05353,0.0515,0.2175,0.1549,0.0773,-43.0,-32.7,0,18.3,50.9,43.3,0.9758,0.9753,0.9775,False
SITE_01_P01_A,SITE_01_P01_A_W094,930,940,during,zone_c,63.5,945.6,50.8,65.0,0.299,0.19644,0.23595,0.23059,0.03802,0.0408,0.1653,0.1006,0.0711,-44.5,-34.5,0,18.4,50.8,41.7,0.9605,0.9189,0.9754,False
SITE_01_P01_A,SITE_01_P01_A_W095,940,950,during,zone_c,63.0,952.8,39.9,59.1,0.28214,0.18676,0.25482,0.23165,0.04463,0.0422,0.1396,0.098,0.0421,-45.9,-33.7,0,18.3,51.4,44.1,0.9516,0.9338,0.9821,False
SITE_01_P01_A,SITE_01_P01_A_W096,950,960,during,zone_c,62.4,961.2,46.2,56.0,0.27203,0.19115,0.25824,0.23417,0.04441,0.0454,0.1769,0.1477,0.0373,-42.7,-33.4,0,17.9,51.2,44.3,0.9755,0.9316,0.9598,False
SITE_01_P01_A,SITE_01_P01_A_W097,960,970,during,zone_c,66.2,905.8,43.0,56.3,0.28634,0.17916,0.22267,0.25277,0.05906,0.0703,0.233,0.2088,0.1343,-46.2,-23.3,3,17.8,51.4,43.0,0.9427,0.9563,0.965,False
SITE_01_P01_A,SITE_01_P01_A_W098,970,980,during,zone_c,61.3,979.3,44.1,54.1,0.26038,0.19609,0.2544,0.23355,0.05558,0.0373,0.108,0.0965,0.0561,-45.7,-24.0,0,17.7,51.1,43.6,0.964,0.9545,0.9707,False
