event_id,session_id,site_id,participant_id,event_start_sec,event_end_sec,phase,investigation_zone,event_type,source_modalities,detection_method,observation_text,explanation_status,known_explanation,environmental_match,manual_marker,signal_quality_summary,hr_delta_bpm_vs_pre_event,rmssd_delta_pct_vs_pre_event,beta_delta_pct_vs_pre_event,audio_peak_dbfs,audio_transient_count,bodycam_motion_score,environmental_noise_db,review_note
EVT_0011,SITE_01_P07_B,SITE_01,P07,870,920,during,zone_b,multimodal_coincidence,"polar,muse,audio,environment",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient during a documented electrical interval.,probable,Old wiring activity was documented during the interval.,true,True,good,16.1,-33.6,14.2,-14.9,4,0.106,52.1,Retain as an explainable comparison case for model evaluation.
EVT_0012,SITE_01_P08_A,SITE_01,P08,410,460,during,zone_a,multimodal_coincidence,"polar,muse,audio,environment",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient during a documented electrical interval.,probable,Old wiring activity was documented during the interval.,true,True,good,9.9,-18.4,15.5,-21.8,2,0.113,48.8,Retain as an explainable comparison case for model evaluation.
EVT_0013,SITE_01_P08_A,SITE_01,P08,870,940,during,zone_b,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,degraded,3.0,-1.2,7.2,-24.0,1,0.197,37.7,Context suggests a conventional or single-modality explanation.
EVT_0014,SITE_01_P09_A,SITE_01,P09,900,980,during,zone_c,multimodal_coincidence,"polar,muse,audio,environment",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient during a documented electrical interval.,probable,Old wiring activity was documented during the interval.,true,True,good,12.1,-29.2,5.9,-21.6,4,0.11,48.9,Retain as an explainable comparison case for model evaluation.
EVT_0015,SITE_02_P01_A,SITE_02,P01,880,940,during,zone_b,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,acceptable,0.3,2.2,-1.4,-29.4,0,0.166,45.8,Context suggests a conventional or single-modality explanation.
EVT_0016,SITE_02_P01_A,SITE_02,P01,1170,1250,during,zone_c,physiological_shift,"polar,muse,bodycam,muse_accel",automated_screen,Concurrent physiological and EEG change occurred near an audio transient.,probable,Movement was visible on body camera during the physiological change.,true,False,good,12.4,-20.3,3.8,-20.8,3,0.424,42.8,Context suggests a conventional or single-modality explanation.
EVT_0017,SITE_02_P02_A,SITE_02,P02,560,620,during,zone_a,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Equipment handling is the most likely source.,true,False,good,7.4,-38.1,-3.8,-24.9,1,0.423,47.9,Context suggests a conventional or single-modality explanation.
EVT_0018,SITE_02_P04_A,SITE_02,P04,450,500,during,zone_a,physiological_shift,"polar,muse,bodycam,muse_accel",automated_screen,Concurrent physiological and EEG change occurred near an audio transient.,probable,Movement was visible on body camera during the physiological change.,true,False,good,11.9,-45.3,16.3,-27.2,1,0.41,44.9,Context suggests a conventional or single-modality explanation.
EVT_0019,SITE_02_P04_A,SITE_02,P04,630,690,during,zone_b,multimodal_coincidence,"polar,muse,audio,bodycam",sensor_rule+manual_review,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,12.4,-36.6,17.9,-20.9,1,0.147,42.9,Low-context event; retain for comparison.
EVT_0020,SITE_02_P04_A,SITE_02,P04,780,850,during,zone_b,environmental_or_audio_event,"audio,environment",sensor_rule+field_log,Concurrent sensor change detected during a documented environmental interval.,probable,"HVAC cycling, plumbing and occasional hallway activity are expected.",true,True,good,1.8,-10.8,-2.3,-22.7,1,0.187,45.1,Retain as an explainable comparison case for model evaluation.
EVT_0021,SITE_02_P05_A,SITE_02,P05,1180,1250,during,zone_c,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,acceptable,4.0,15.1,8.5,-31.6,0,0.122,44.0,Context suggests a conventional or single-modality explanation.
EVT_0022,SITE_02_P06_A,SITE_02,P06,820,880,during,zone_b,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,Distant exterior noise was present but exact source was not visually confirmed.,true,False,good,-0.3,-1.9,-7.6,-19.8,1,0.144,45.9,Context suggests a conventional or single-modality explanation.
EVT_0023,SITE_02_P08_A,SITE_02,P08,530,580,during,zone_a,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,acceptable,0.4,25.2,18.9,-28.9,1,0.17,44.3,Context suggests a conventional or single-modality explanation.
EVT_0024,SITE_02_P08_A,SITE_02,P08,650,730,during,zone_b,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Footstep / investigator handling was visible on body camera.,true,False,good,6.4,-6.9,-1.3,-28.1,2,0.382,45.5,Context suggests a conventional or single-modality explanation.
EVT_0025,SITE_02_P08_A,SITE_02,P08,1040,1100,during,zone_c,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,Distant exterior noise was present but exact source was not visually confirmed.,unknown,False,good,-1.8,-24.3,3.6,-26.5,2,0.147,46.3,Context suggests a conventional or single-modality explanation.
EVT_0026,SITE_02_P08_A,SITE_02,P08,1220,1280,during,zone_d,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,4.5,-29.6,1.5,-29.5,0,0.118,44.9,Context suggests a conventional or single-modality explanation.
EVT_0027,SITE_02_P09_A,SITE_02,P09,800,870,during,zone_b,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Flashlight movement was visible on body camera.,true,False,good,-2.0,-1.5,-1.9,-28.1,1,0.145,43.8,Context suggests a conventional or single-modality explanation.
EVT_0028,SITE_02_P09_A,SITE_02,P09,1220,1300,during,zone_d,multimodal_coincidence,"polar,muse,audio",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,5.9,2.3,-2.9,-19.0,2,0.098,47.0,Low-context event; retain for comparison.
EVT_0029,SITE_03_P01_A,SITE_03,P01,720,780,during,zone_b,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,5.5,-12.1,2.9,-35.0,0,0.102,41.0,Context suggests a conventional or single-modality explanation.
EVT_0030,SITE_03_P02_A,SITE_03,P02,1240,1300,during,zone_d,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,4.4,-11.9,2.3,-31.6,1,0.075,36.7,Context suggests a conventional or single-modality explanation.
EVT_0031,SITE_03_P03_A,SITE_03,P03,460,540,during,zone_a,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,4.2,-21.1,-8.1,-34.2,0,0.156,33.0,Context suggests a conventional or single-modality explanation.
EVT_0032,SITE_03_P04_A,SITE_03,P04,370,440,during,zone_a,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Flashlight movement was visible on body camera.,true,False,good,1.1,-4.5,13.1,-33.5,1,0.164,33.2,Context suggests a conventional or single-modality explanation.
EVT_0033,SITE_03_P04_A,SITE_03,P04,600,680,during,zone_b,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,acceptable,-3.4,-0.1,16.1,-33.3,0,0.161,35.6,Context suggests a conventional or single-modality explanation.
EVT_0034,SITE_03_P04_A,SITE_03,P04,820,900,during,zone_b,audio_transient,"audio,polar",sensor_rule+field_log,Voice-like fragment heard while the Spirit Box was sweeping; mild physiological response.,unresolved,,unknown,True,good,6.6,-21.0,-2.3,-20.8,2,0.123,34.8,Low-context event; retain for comparison.
EVT_0035,SITE_03_P04_A,SITE_03,P04,1380,1440,during,zone_d,multimodal_coincidence,"polar,muse,audio,bodycam",sensor_rule+manual_review,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,false,True,good,16.1,-24.7,14.7,-27.3,3,0.101,35.6,No immediate environmental explanation was documented; compare across independent sessions.
EVT_0036,SITE_03_P07_A,SITE_03,P07,770,820,during,zone_b,multimodal_coincidence,"polar,muse,audio",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,5.3,-26.5,8.7,-28.2,2,0.112,36.4,Low-context event; retain for comparison.
EVT_0037,SITE_03_P08_A,SITE_03,P08,390,480,during,zone_a,multimodal_coincidence,"polar,muse,audio,bodycam",sensor_rule+manual_review,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,5.8,-27.8,8.4,-25.1,2,0.082,34.7,Low-context event; retain for comparison.
EVT_0038,SITE_03_P09_A,SITE_03,P09,960,1020,during,zone_c,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,acceptable,-5.7,-9.6,6.3,-35.7,0,0.187,33.3,Context suggests a conventional or single-modality explanation.
EVT_0039,SITE_04_P03_A,SITE_04,P03,1310,1390,during,zone_d,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,6.2,-39.4,-4.1,-30.0,0,0.198,43.1,Context suggests a conventional or single-modality explanation.
EVT_0040,SITE_04_P04_A,SITE_04,P04,540,600,during,zone_a,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,degraded,-2.0,-9.6,4.9,-26.3,1,0.139,40.0,Context suggests a conventional or single-modality explanation.
EVT_0041,SITE_04_P04_A,SITE_04,P04,670,740,during,zone_b,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Equipment handling is the most likely source.,true,False,good,3.7,-0.5,4.9,-28.5,1,0.413,43.2,Context suggests a conventional or single-modality explanation.
EVT_0042,SITE_04_P04_A,SITE_04,P04,1070,1130,during,zone_c,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,acceptable,0.7,-1.4,9.6,-31.5,0,0.125,41.9,Context suggests a conventional or single-modality explanation.
EVT_0043,SITE_04_P05_A,SITE_04,P05,670,730,during,zone_b,multimodal_coincidence,"polar,muse,audio,environment",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient during a documented electrical interval.,probable,Breaker panels activity was documented during the interval.,true,True,good,10.1,-26.2,4.7,-25.3,5,0.056,52.3,Retain as an explainable comparison case for model evaluation.
EVT_0044,SITE_04_P05_A,SITE_04,P05,1240,1310,during,zone_d,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Exterior light spill or flashlight movement is a plausible source.,true,False,good,-1.7,14.1,-7.1,-32.1,0,0.119,41.1,Context suggests a conventional or single-modality explanation.
EVT_0045,SITE_04_P05_A,SITE_04,P05,1380,1460,during,zone_d,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,4.8,-1.4,3.0,-31.5,0,0.113,37.4,Context suggests a conventional or single-modality explanation.
EVT_0046,SITE_04_P07_A,SITE_04,P07,750,820,during,zone_b,single_sensor_deviation,"muse,polar",automated_screen,EEG beta increase during a short signal-quality reduction.,probable,Short signal-quality reduction may explain the isolated deviation.,unknown,False,degraded,2.6,-28.4,12.5,-30.2,0,0.123,42.8,Context suggests a conventional or single-modality explanation.
EVT_0047,SITE_04_P08_A,SITE_04,P08,620,680,during,zone_b,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Investigator movement was visible on body camera.,true,False,good,8.2,17.3,-5.7,-29.2,2,0.506,41.2,Context suggests a conventional or single-modality explanation.
EVT_0048,SITE_04_P08_A,SITE_04,P08,920,1000,during,zone_c,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,degraded,-0.2,5.4,1.7,-31.0,0,0.119,42.7,Context suggests a conventional or single-modality explanation.
EVT_0049,SITE_04_P08_A,SITE_04,P08,1150,1220,during,zone_c,physiological_shift,"polar,muse",sensor_rule+manual_review,Concurrent physiological and EEG change without an audio transient. Body-camera movement remained low.,unresolved,,false,True,good,10.3,-31.5,10.6,-31.5,0,0.053,39.0,No immediate environmental explanation was documented; compare across independent sessions.
EVT_0050,SITE_04_P08_A,SITE_04,P08,1280,1360,during,zone_d,environmental_or_audio_event,"audio,environment",sensor_rule+field_log,Concurrent sensor change detected during a documented environmental interval.,probable,Metal structure and nearby electrical infrastructure produce hum and expansion noise.,true,True,good,-1.9,9.4,-1.6,-22.1,2,0.141,50.4,Retain as an explainable comparison case for model evaluation.
EVT_0051,SITE_04_P08_A,SITE_04,P08,1420,1490,during,zone_d,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Exterior light spill or flashlight movement is a plausible source.,true,False,good,-0.9,-18.8,-5.3,-31.1,0,0.249,41.9,Context suggests a conventional or single-modality explanation.
EVT_0052,SITE_04_P10_A,SITE_04,P10,1270,1340,during,zone_d,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,unresolved,nan,true,False,good,-0.5,2.7,-7.0,-21.6,2,0.136,42.5,Context suggests a conventional or single-modality explanation.
EVT_0053,SITE_05_P01_A,SITE_05,P01,930,1000,during,zone_c,single_sensor_deviation,"muse,polar",automated_screen,EEG beta increase during a short signal-quality reduction.,probable,Short signal-quality reduction may explain the isolated deviation.,unknown,False,degraded,4.0,-13.5,33.6,-29.2,1,0.1,35.8,Context suggests a conventional or single-modality explanation.
EVT_0054,SITE_05_P01_A,SITE_05,P01,1290,1360,during,zone_d,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Exterior light spill or flashlight movement is a plausible source.,true,False,good,-4.7,13.4,-7.0,-32.0,0,0.119,35.2,Context suggests a conventional or single-modality explanation.
EVT_0055,SITE_05_P02_A,SITE_05,P02,670,710,during,zone_b,protocol_interruption,"field_log,environment",field_log,Session interrupted by a documented protocol deviation.,confirmed,"Birds, small animals and loose windows were observed on site.",true,True,good,0.4,37.1,3.1,-27.5,2,0.341,37.2,Exclude this session from primary analysis but retain for audit and robustness testing.
EVT_0056,SITE_05_P02_B,SITE_05,P02,360,420,during,zone_a,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Exterior light spill or flashlight movement is a plausible source.,true,False,good,1.8,8.5,3.5,-31.7,0,0.111,41.2,Context suggests a conventional or single-modality explanation.
EVT_0057,SITE_05_P02_B,SITE_05,P02,1080,1150,during,zone_c,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,unresolved,nan,unknown,False,good,1.4,-15.3,-11.4,-23.9,1,0.225,34.1,Context suggests a conventional or single-modality explanation.
EVT_0058,SITE_05_P02_B,SITE_05,P02,1350,1430,during,zone_d,multimodal_coincidence,"polar,muse,audio",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,4.7,-3.0,-2.2,-27.6,2,0.109,34.2,Low-context event; retain for comparison.
EVT_0059,SITE_05_P03_A,SITE_05,P03,890,960,during,zone_b,multimodal_coincidence,"polar,muse,audio,bodycam",sensor_rule+manual_review,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,false,True,good,11.6,-42.5,18.8,-20.6,5,0.052,31.5,No immediate environmental explanation was documented; compare across independent sessions.
EVT_0060,SITE_05_P03_A,SITE_05,P03,1350,1420,during,zone_d,multimodal_coincidence,"polar,muse,audio",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,6.3,-13.2,6.8,-25.2,3,0.126,34.3,Low-context event; retain for comparison.
EVT_0061,SITE_05_P04_A,SITE_05,P04,1330,1400,during,zone_d,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Exterior light spill or flashlight movement is a plausible source.,true,False,good,-1.6,-13.6,-3.3,-34.7,0,0.176,31.7,Context suggests a conventional or single-modality explanation.
EVT_0062,SITE_05_P05_A,SITE_05,P05,1370,1430,during,zone_d,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,acceptable,-1.8,13.0,16.6,-36.2,0,0.137,30.6,Context suggests a conventional or single-modality explanation.
EVT_0063,SITE_05_P07_A,SITE_05,P07,410,470,during,zone_a,environmental_or_audio_event,"audio,environment",sensor_rule+field_log,Concurrent sensor change detected during a documented environmental interval.,probable,"Birds, small animals and loose windows were observed on site.",true,True,good,3.5,4.5,0.7,-28.0,1,0.154,40.9,Retain as an explainable comparison case for model evaluation.
EVT_0064,SITE_05_P07_A,SITE_05,P07,560,630,during,zone_a,audio_transient,"audio,polar",sensor_rule+field_log,Voice-like fragment heard while the Spirit Box was sweeping; mild physiological response.,unresolved,,unknown,True,good,5.4,-14.3,7.3,-24.3,2,0.078,35.4,Low-context event; retain for comparison.
EVT_0065,SITE_05_P07_A,SITE_05,P07,700,780,during,zone_b,movement_event,"bodycam,muse_accel",automated_screen,Short movement burst detected in body-camera and accelerometer data.,confirmed,Investigator movement was visible on body camera.,true,False,good,4.7,-16.0,-4.6,-31.9,0,0.4,34.4,Context suggests a conventional or single-modality explanation.
EVT_0066,SITE_05_P07_A,SITE_05,P07,1350,1400,during,zone_d,environmental_or_audio_event,"audio,environment",sensor_rule+field_log,Concurrent sensor change detected during a documented environmental interval.,probable,"Birds, small animals and loose windows were observed on site.",true,True,good,-2.8,30.3,-0.7,-25.5,2,0.116,41.6,Retain as an explainable comparison case for model evaluation.
EVT_0067,SITE_05_P08_A,SITE_05,P08,1010,1070,during,zone_c,single_sensor_deviation,"muse,polar",automated_screen,EEG beta increase during a short signal-quality reduction.,probable,Short signal-quality reduction may explain the isolated deviation.,unknown,False,degraded,8.3,-20.5,33.6,-27.9,2,0.092,33.7,Context suggests a conventional or single-modality explanation.
EVT_0068,SITE_05_P10_A,SITE_05,P10,930,1010,during,zone_c,multimodal_coincidence,"polar,muse,audio,bodycam",sensor_rule+manual_review,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,10.4,-33.5,11.1,-17.9,2,0.101,33.3,Low-context event; retain for comparison.
EVT_0069,SITE_05_P10_A,SITE_05,P10,1350,1430,during,zone_d,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,degraded,-6.4,32.6,6.0,-34.6,0,0.119,30.2,Context suggests a conventional or single-modality explanation.
EVT_0070,SITE_06_P02_A,SITE_06,P02,860,930,during,zone_b,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Exterior light spill or flashlight movement is a plausible source.,true,False,good,2.2,9.7,-6.1,-32.2,0,0.167,41.8,Context suggests a conventional or single-modality explanation.
EVT_0071,SITE_06_P03_A,SITE_06,P03,1220,1270,during,zone_d,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Exterior light spill or flashlight movement is a plausible source.,true,False,good,0.1,-24.9,-1.0,-28.9,0,0.118,42.9,Context suggests a conventional or single-modality explanation.
EVT_0072,SITE_06_P06_A,SITE_06,P06,410,460,during,zone_a,physiological_shift,"polar,muse,bodycam,muse_accel",automated_screen,Concurrent physiological and EEG change occurred near an audio transient.,probable,Movement was visible on body camera during the physiological change.,true,False,good,1.4,-8.6,11.8,-28.3,2,0.38,40.1,Context suggests a conventional or single-modality explanation.
EVT_0073,SITE_06_P06_A,SITE_06,P06,910,990,during,zone_c,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,acceptable,0.6,-6.3,7.0,-30.1,0,0.183,40.7,Context suggests a conventional or single-modality explanation.
EVT_0074,SITE_06_P07_A,SITE_06,P07,350,420,during,zone_a,light_change,bodycam,automated_screen,Brief body-camera light-level change detected.,probable,Flashlight movement was visible on body camera.,true,False,good,0.2,7.2,-4.9,-30.8,0,0.104,39.9,Context suggests a conventional or single-modality explanation.
EVT_0075,SITE_06_P07_A,SITE_06,P07,640,690,during,zone_b,single_sensor_deviation,muse,automated_screen,Isolated sensor deviation detected without corroboration from other modalities.,probable,Sensor contact adjustment was documented.,unknown,False,degraded,-2.6,-8.7,10.0,-29.7,0,0.111,44.4,Context suggests a conventional or single-modality explanation.
EVT_0076,SITE_06_P07_A,SITE_06,P07,870,940,during,zone_b,multimodal_coincidence,"polar,muse,audio,bodycam",sensor_rule+manual_review,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,3.8,-19.3,7.4,-20.9,3,0.102,38.8,Low-context event; retain for comparison.
EVT_0077,SITE_06_P08_A,SITE_06,P08,1150,1190,during,zone_c,protocol_interruption,"field_log,environment",field_log,Session interrupted by a documented protocol deviation.,confirmed,Stage rigging and HVAC produce intermittent creaks and cycling sounds.,true,True,good,1.5,3.8,2.0,-27.8,2,0.441,51.9,Exclude this session from primary analysis but retain for audit and robustness testing.
EVT_0078,SITE_06_P08_B,SITE_06,P08,1000,1050,during,zone_c,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,7.4,4.5,-12.6,-32.5,0,0.113,42.6,Context suggests a conventional or single-modality explanation.
EVT_0079,SITE_06_P09_A,SITE_06,P09,1090,1130,during,zone_c,protocol_interruption,"field_log,environment",field_log,Session interrupted by a documented protocol deviation.,confirmed,Stage rigging and HVAC produce intermittent creaks and cycling sounds.,true,True,good,-0.9,-12.0,-7.6,-24.3,4,0.344,48.2,Exclude this session from primary analysis but retain for audit and robustness testing.
EVT_0080,SITE_06_P09_B,SITE_06,P09,530,580,during,zone_a,multimodal_coincidence,"polar,muse,audio",sensor_rule+field_log,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,unknown,True,good,1.5,-22.2,3.5,-25.1,1,0.12,48.0,Low-context event; retain for comparison.
EVT_0081,SITE_06_P09_B,SITE_06,P09,860,920,during,zone_b,single_sensor_deviation,"muse,polar",automated_screen,EEG beta increase during a short signal-quality reduction.,probable,Short signal-quality reduction may explain the isolated deviation.,unknown,False,degraded,2.0,33.2,27.9,-30.7,0,0.104,41.1,Context suggests a conventional or single-modality explanation.
EVT_0082,SITE_06_P09_B,SITE_06,P09,1230,1280,during,zone_d,physiological_shift,polar,automated_screen,Brief heart-rate / HRV change detected without persistent EEG or audio convergence.,probable,Participant movement or posture change is a plausible explanation.,unknown,False,good,7.6,-20.4,-1.2,-30.9,1,0.117,41.9,Context suggests a conventional or single-modality explanation.
EVT_0083,SITE_07_P01_A,SITE_07,P01,710,780,during,zone_b,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,Distant exterior noise was present but exact source was not visually confirmed.,true,False,good,-1.3,-1.9,4.4,-20.3,3,0.124,36.8,Context suggests a conventional or single-modality explanation.
EVT_0084,SITE_07_P02_A,SITE_07,P02,1250,1310,during,zone_d,multimodal_coincidence,"polar,muse,audio,bodycam",sensor_rule+manual_review,Concurrent physiological and EEG change occurred near an audio transient. Body-camera movement remained low.,unresolved,,false,True,good,11.4,-16.9,13.0,-20.3,4,0.112,39.3,No immediate environmental explanation was documented; compare across independent sessions.
EVT_0085,SITE_07_P03_A,SITE_07,P03,1420,1470,during,zone_d,audio_transient,audio,automated_screen,Short audio transient detected without a sustained multi-sensor response.,probable,Distant exterior noise was present but exact source was not visually confirmed.,unknown,False,good,-2.8,-15.5,-7.3,-26.2,3,0.113,34.8,Context suggests a conventional or single-modality explanation.
