session_id,site_id,site_name,participant_id,trial,repeat_of_session_id,session_date,start_time_local,planned_duration_minutes,actual_duration_minutes,session_status,primary_analysis_eligible,bodycam_status,muse2_status,polar_status,recording_sync_status,building_type,construction_material,occupancy_status,electricity_available,running_water_available,traffic_level,cellular_signal,temperature_c,humidity_pct,weather_condition,rainfall_mm,wind_kph,ambient_noise_db,known_animals_observed,known_electrical_sources,protocol_deviation,investigator_notes
SITE_01_P10_A,SITE_01,Mercer Historic House,P10,A,,2026-03-02,00:30,30,30,completed,True,complete,complete,complete,synced,historic_house,wood_brick,unoccupied,True,True,moderate,good,16.8,50.6,clear,0.0,11.7,42.3,none_observed,"old_wiring,refrigerator,exterior_transformer",,Old wiring and active plumbing documented before the study. Protocol completed without deviation.
SITE_02_P01_A,SITE_02,Riverside Motor Hotel,P01,A,,2026-03-05,18:30,30,30,completed,True,complete,complete,complete,synced,old_hotel,brick_concrete,partially_active,True,True,moderate,good,20.6,64.3,rain,0.5,16.0,46.4,none_observed,"hvac,elevator_panel,vending_machines",,"HVAC cycling, plumbing and occasional hallway activity are expected. Protocol completed without deviation."
SITE_02_P02_A,SITE_02,Riverside Motor Hotel,P02,A,,2026-03-05,19:10,30,30,completed,True,complete,complete,complete,synced,old_hotel,brick_concrete,partially_active,True,True,moderate,good,21.3,63.6,rain,3.9,15.6,41.8,none_observed,"hvac,elevator_panel,vending_machines",,"HVAC cycling, plumbing and occasional hallway activity are expected. Protocol completed without deviation."
SITE_02_P03_A,SITE_02,Riverside Motor Hotel,P03,A,,2026-03-05,19:50,30,30,completed,True,complete,complete,complete,synced,old_hotel,brick_concrete,partially_active,True,True,moderate,good,22.1,62.9,rain,3.3,8.1,43.3,none_observed,"hvac,elevator_panel,vending_machines",,"HVAC cycling, plumbing and occasional hallway activity are expected. Protocol completed without deviation."
SITE_02_P04_A,SITE_02,Riverside Motor Hotel,P04,A,,2026-03-05,20:30,30,30,completed,True,complete,complete,complete,synced,old_hotel,brick_concrete,partially_active,True,True,moderate,good,20.9,63.8,rain,3.5,17.8,41.7,none_observed,"hvac,elevator_panel,vending_machines",,"HVAC cycling, plumbing and occasional hallway activity are expected. Protocol completed without deviation."
SITE_02_P05_A,SITE_02,Riverside Motor Hotel,P05,A,,2026-03-05,21:10,30,30,completed,True,complete,complete,complete,synced,old_hotel,brick_concrete,partially_active,True,True,moderate,good,21.5,66.0,rain,1.1,14.2,42.2,none_observed,"hvac,elevator_panel,vending_machines",,"HVAC cycling, plumbing and occasional hallway activity are expected. Protocol completed without deviation."
SITE_02_P06_A,SITE_02,Riverside Motor Hotel,P06,A,,2026-03-05,21:50,30,30,completed,True,complete,complete,complete,synced,old_hotel,brick_concrete,partially_active,True,True,moderate,good,20.8,65.8,rain,3.3,15.7,41.8,none_observed,"hvac,elevator_panel,vending_machines",,"HVAC cycling, plumbing and occasional hallway activity are expected. Protocol completed without deviation."
SITE_02_P07_A,SITE_02,Riverside Motor Hotel,P07,A,,2026-03-05,22:30,30,30,completed,True,complete,complete,complete,synced,old_hotel,brick_concrete,partially_active,True,True,moderate,good,20.5,62.5,rain,3.7,12.6,43.9,none_observed,"hvac,elevator_panel,vending_machines",,"HVAC cycling, plumbing and occasional hallway activity are expected. Protocol completed without deviation."
SITE_02_P08_A,SITE_02,Riverside Motor Hotel,P08,A,,2026-03-05,23:10,30,30,completed,True,complete,partial,complete,synced,old_hotel,brick_concrete,partially_active,True,True,moderate,good,21.7,59.5,rain,3.4,16.0,43.5,none_observed,"hvac,elevator_panel,vending_machines",,"HVAC cycling, plumbing and occasional hallway activity are expected. Protocol completed without deviation."
SITE_02_P09_A,SITE_02,Riverside Motor Hotel,P09,A,,2026-03-05,23:50,30,30,completed,True,complete,complete,complete,synced,old_hotel,brick_concrete,partially_active,True,True,moderate,good,22.5,68.4,rain,2.9,5.5,43.5,none_observed,"hvac,elevator_panel,vending_machines",,"HVAC cycling, plumbing and occasional hallway activity are expected. Protocol completed without deviation."
SITE_02_P10_A,SITE_02,Riverside Motor Hotel,P10,A,,2026-03-05,00:30,30,30,completed,True,complete,partial,complete,synced,old_hotel,brick_concrete,partially_active,True,True,moderate,good,21.2,64.8,rain,3.6,14.2,42.8,none_observed,"hvac,elevator_panel,vending_machines",,"HVAC cycling, plumbing and occasional hallway activity are expected. Protocol completed without deviation."
SITE_03_P01_A,SITE_03,Oak Ridge Cemetery,P01,A,,2026-03-08,18:30,30,30,completed,True,complete,complete,complete,synced,cemetery,open_ground_stone,outdoor,False,False,low,good,21.6,40.9,clear,0.0,16.9,38.4,none_observed,nearby_road_lighting,,"Wind, insects and distant road traffic are recurring sound sources. Protocol completed without deviation."
SITE_03_P02_A,SITE_03,Oak Ridge Cemetery,P02,A,,2026-03-08,19:10,30,30,completed,True,complete,complete,complete,synced,cemetery,open_ground_stone,outdoor,False,False,low,good,21.4,42.6,clear,0.0,6.7,38.1,none_observed,nearby_road_lighting,,"Wind, insects and distant road traffic are recurring sound sources. Protocol completed without deviation."
SITE_03_P03_A,SITE_03,Oak Ridge Cemetery,P03,A,,2026-03-08,19:50,30,30,completed,True,complete,partial,complete,synced,cemetery,open_ground_stone,outdoor,False,False,low,good,20.8,34.6,clear,0.0,12.3,35.7,none_observed,nearby_road_lighting,,"Wind, insects and distant road traffic are recurring sound sources. Protocol completed without deviation."
SITE_03_P04_A,SITE_03,Oak Ridge Cemetery,P04,A,,2026-03-08,20:30,30,30,completed,True,complete,complete,complete,synced,cemetery,open_ground_stone,outdoor,False,False,low,good,21.1,43.1,clear,0.0,7.2,32.0,none_observed,nearby_road_lighting,,"Wind, insects and distant road traffic are recurring sound sources. Protocol completed without deviation."
SITE_03_P05_A,SITE_03,Oak Ridge Cemetery,P05,A,,2026-03-08,21:10,30,30,completed,True,complete,partial,complete,synced,cemetery,open_ground_stone,outdoor,False,False,low,good,22.3,43.8,clear,0.0,13.6,33.7,none_observed,nearby_road_lighting,,"Wind, insects and distant road traffic are recurring sound sources. Protocol completed without deviation."
SITE_03_P06_A,SITE_03,Oak Ridge Cemetery,P06,A,,2026-03-08,21:50,30,30,completed,True,complete,complete,complete,synced,cemetery,open_ground_stone,outdoor,False,False,low,good,21.0,44.7,clear,0.0,2.7,33.2,none_observed,nearby_road_lighting,,"Wind, insects and distant road traffic are recurring sound sources. Protocol completed without deviation."
SITE_03_P07_A,SITE_03,Oak Ridge Cemetery,P07,A,,2026-03-08,22:30,30,30,completed,True,complete,complete,complete,synced,cemetery,open_ground_stone,outdoor,False,False,low,good,21.0,43.3,clear,0.0,15.4,37.2,none_observed,nearby_road_lighting,,"Wind, insects and distant road traffic are recurring sound sources. Protocol completed without deviation."
SITE_03_P08_A,SITE_03,Oak Ridge Cemetery,P08,A,,2026-03-08,23:10,30,30,completed,True,complete,complete,complete,synced,cemetery,open_ground_stone,outdoor,False,False,low,good,22.1,40.6,clear,0.0,14.7,33.5,none_observed,nearby_road_lighting,,"Wind, insects and distant road traffic are recurring sound sources. Protocol completed without deviation."
SITE_03_P09_A,SITE_03,Oak Ridge Cemetery,P09,A,,2026-03-08,23:50,30,30,completed,True,complete,complete,complete,synced,cemetery,open_ground_stone,outdoor,False,False,low,good,23.0,39.6,clear,0.0,5.8,33.1,none_observed,nearby_road_lighting,,"Wind, insects and distant road traffic are recurring sound sources. Protocol completed without deviation."
SITE_03_P10_A,SITE_03,Oak Ridge Cemetery,P10,A,,2026-03-08,00:30,30,30,completed,True,complete,complete,complete,synced,cemetery,open_ground_stone,outdoor,False,False,low,good,20.3,42.6,clear,0.0,8.1,36.1,none_observed,nearby_road_lighting,,"Wind, insects and distant road traffic are recurring sound sources. Protocol completed without deviation."
SITE_04_P01_A,SITE_04,North Foundry Warehouse,P01,A,,2026-03-11,18:30,30,30,completed,True,complete,complete,complete,synced,industrial_warehouse,steel_concrete,inactive,True,False,low,fair,24.0,49.7,clear,0.0,6.5,39.5,none_observed,"breaker_panels,nearby_power_lines",,Metal structure and nearby electrical infrastructure produce hum and expansion noise. Protocol completed without deviation.
SITE_04_P02_A,SITE_04,North Foundry Warehouse,P02,A,,2026-03-11,19:10,30,30,completed,True,complete,complete,complete,synced,industrial_warehouse,steel_concrete,inactive,True,False,low,fair,25.6,51.6,clear,0.0,8.0,38.6,none_observed,"breaker_panels,nearby_power_lines",,Metal structure and nearby electrical infrastructure produce hum and expansion noise. Protocol completed without deviation.
SITE_04_P03_A,SITE_04,North Foundry Warehouse,P03,A,,2026-03-11,19:50,30,30,completed,True,complete,complete,complete,synced,industrial_warehouse,steel_concrete,inactive,True,False,low,fair,23.7,50.3,clear,0.0,10.4,40.1,none_observed,"breaker_panels,nearby_power_lines",,Metal structure and nearby electrical infrastructure produce hum and expansion noise. Protocol completed without deviation.
SITE_04_P04_A,SITE_04,North Foundry Warehouse,P04,A,,2026-03-11,20:30,30,30,completed,True,complete,complete,complete,synced,industrial_warehouse,steel_concrete,inactive,True,False,low,fair,24.8,48.2,clear,0.0,4.7,42.3,none_observed,"breaker_panels,nearby_power_lines",,Metal structure and nearby electrical infrastructure produce hum and expansion noise. Protocol completed without deviation.
SITE_04_P05_A,SITE_04,North Foundry Warehouse,P05,A,,2026-03-11,21:10,30,30,completed,True,complete,complete,complete,synced,industrial_warehouse,steel_concrete,inactive,True,False,low,fair,25.6,52.6,clear,0.0,15.2,44.8,none_observed,"breaker_panels,nearby_power_lines",,Metal structure and nearby electrical infrastructure produce hum and expansion noise. Protocol completed without deviation.
SITE_04_P06_A,SITE_04,North Foundry Warehouse,P06,A,,2026-03-11,21:50,30,30,completed,True,complete,complete,complete,synced,industrial_warehouse,steel_concrete,inactive,True,False,low,fair,25.4,52.4,clear,0.0,13.5,43.2,none_observed,"breaker_panels,nearby_power_lines",,Metal structure and nearby electrical infrastructure produce hum and expansion noise. Protocol completed without deviation.
SITE_04_P07_A,SITE_04,North Foundry Warehouse,P07,A,,2026-03-11,22:30,30,30,completed,True,complete,complete,complete,synced,industrial_warehouse,steel_concrete,inactive,True,False,low,fair,23.3,49.1,clear,0.0,11.7,41.5,none_observed,"breaker_panels,nearby_power_lines",,Metal structure and nearby electrical infrastructure produce hum and expansion noise. Protocol completed without deviation.
SITE_04_P08_A,SITE_04,North Foundry Warehouse,P08,A,,2026-03-11,23:10,30,30,completed,True,complete,complete,complete,synced,industrial_warehouse,steel_concrete,inactive,True,False,low,fair,24.3,50.5,clear,0.0,9.5,41.3,none_observed,"breaker_panels,nearby_power_lines",,Metal structure and nearby electrical infrastructure produce hum and expansion noise. Protocol completed without deviation.
SITE_04_P09_A,SITE_04,North Foundry Warehouse,P09,A,,2026-03-11,23:50,30,30,completed,True,complete,complete,complete,synced,industrial_warehouse,steel_concrete,inactive,True,False,low,fair,24.2,52.8,clear,0.0,3.5,44.5,none_observed,"breaker_panels,nearby_power_lines",,Metal structure and nearby electrical infrastructure produce hum and expansion noise. Protocol completed without deviation.
SITE_04_P10_A,SITE_04,North Foundry Warehouse,P10,A,,2026-03-11,00:30,30,30,completed,True,complete,complete,complete,synced,industrial_warehouse,steel_concrete,inactive,True,False,low,fair,25.3,53.3,clear,0.0,16.2,37.3,none_observed,"breaker_panels,nearby_power_lines",,Metal structure and nearby electrical infrastructure produce hum and expansion noise. Protocol completed without deviation.
SITE_05_P01_A,SITE_05,Jefferson Rural School,P01,A,,2026-03-14,18:30,30,30,completed,True,complete,complete,complete,synced,abandoned_school,brick_wood,abandoned,False,False,very_low,fair,24.2,39.9,clear,0.0,6.8,35.1,observed_outside_primary_window,none_on_site,,"Birds, small animals and loose windows were observed on site. Protocol completed without deviation."
SITE_05_P02_A,SITE_05,Jefferson Rural School,P02,A,,2026-03-14,19:10,30,12,interrupted,False,partial,partial,complete,synced,abandoned_school,brick_wood,abandoned,False,False,very_low,fair,23.7,45.0,clear,0.0,16.1,31.0,observed_outside_primary_window,none_on_site,security_alarm_test,"Birds, small animals and loose windows were observed on site. Session interrupted (security alarm test); repeated as trial B."
SITE_05_P02_B,SITE_05,Jefferson Rural School,P02,B,SITE_05_P02_A,2026-03-15,19:00,30,30,completed,True,complete,complete,complete,synced,abandoned_school,brick_wood,abandoned,False,False,very_low,fair,24.1,41.3,clear,0.0,13.1,36.9,observed_outside_primary_window,none_on_site,,"Birds, small animals and loose windows were observed on site. Repeat of interrupted session; protocol completed without deviation."
SITE_05_P03_A,SITE_05,Jefferson Rural School,P03,A,,2026-03-14,19:50,30,30,completed,True,complete,complete,complete,synced,abandoned_school,brick_wood,abandoned,False,False,very_low,fair,24.0,39.8,clear,0.0,10.9,34.8,observed_outside_primary_window,none_on_site,,"Birds, small animals and loose windows were observed on site. Protocol completed without deviation."
SITE_05_P04_A,SITE_05,Jefferson Rural School,P04,A,,2026-03-14,20:30,30,30,completed,True,complete,complete,complete,synced,abandoned_school,brick_wood,abandoned,False,False,very_low,fair,24.2,45.7,clear,0.0,6.0,30.5,observed_outside_primary_window,none_on_site,,"Birds, small animals and loose windows were observed on site. Protocol completed without deviation."
SITE_05_P05_A,SITE_05,Jefferson Rural School,P05,A,,2026-03-14,21:10,30,30,completed,True,complete,complete,complete,synced,abandoned_school,brick_wood,abandoned,False,False,very_low,fair,24.6,39.0,clear,0.0,13.1,33.8,observed_outside_primary_window,none_on_site,,"Birds, small animals and loose windows were observed on site. Protocol completed without deviation."
SITE_05_P06_A,SITE_05,Jefferson Rural School,P06,A,,2026-03-14,21:50,30,30,completed,True,complete,complete,complete,synced,abandoned_school,brick_wood,abandoned,False,False,very_low,fair,23.7,41.9,clear,0.0,4.4,34.0,observed_outside_primary_window,none_on_site,,"Birds, small animals and loose windows were observed on site. Protocol completed without deviation."
SITE_05_P07_A,SITE_05,Jefferson Rural School,P07,A,,2026-03-14,22:30,30,30,completed,True,complete,complete,complete,synced,abandoned_school,brick_wood,abandoned,False,False,very_low,fair,24.7,45.6,clear,0.0,17.0,35.0,observed_outside_primary_window,none_on_site,,"Birds, small animals and loose windows were observed on site. Protocol completed without deviation."
SITE_05_P08_A,SITE_05,Jefferson Rural School,P08,A,,2026-03-14,23:10,30,30,completed,True,complete,complete,complete,synced,abandoned_school,brick_wood,abandoned,False,False,very_low,fair,24.4,43.4,clear,0.0,2.3,34.0,observed_outside_primary_window,none_on_site,,"Birds, small animals and loose windows were observed on site. Protocol completed without deviation."
SITE_05_P09_A,SITE_05,Jefferson Rural School,P09,A,,2026-03-14,23:50,30,30,completed,True,complete,complete,complete,synced,abandoned_school,brick_wood,abandoned,False,False,very_low,fair,24.0,46.1,clear,0.0,11.6,30.8,observed_outside_primary_window,none_on_site,,"Birds, small animals and loose windows were observed on site. Protocol completed without deviation."
SITE_05_P10_A,SITE_05,Jefferson Rural School,P10,A,,2026-03-14,00:30,30,30,completed,True,complete,complete,complete,synced,abandoned_school,brick_wood,abandoned,False,False,very_low,fair,24.1,41.8,clear,0.0,5.3,33.9,observed_outside_primary_window,none_on_site,,"Birds, small animals and loose windows were observed on site. Protocol completed without deviation."
SITE_06_P01_A,SITE_06,Grand Lyric Theater,P01,A,,2026-03-17,18:30,30,30,completed,True,complete,complete,complete,synced,historic_theater,brick_wood_plaster,inactive,True,True,moderate,good,16.6,68.7,partly_cloudy,0.0,11.9,45.1,none_observed,"stage_power,hvac,emergency_lighting",,Stage rigging and HVAC produce intermittent creaks and cycling sounds. Protocol completed without deviation.
SITE_06_P02_A,SITE_06,Grand Lyric Theater,P02,A,,2026-03-17,19:10,30,30,completed,True,complete,complete,complete,synced,historic_theater,brick_wood_plaster,inactive,True,True,moderate,good,16.2,73.6,partly_cloudy,0.0,2.4,40.0,none_observed,"stage_power,hvac,emergency_lighting",,Stage rigging and HVAC produce intermittent creaks and cycling sounds. Protocol completed without deviation.
SITE_06_P03_A,SITE_06,Grand Lyric Theater,P03,A,,2026-03-17,19:50,30,30,completed,True,complete,complete,complete,synced,historic_theater,brick_wood_plaster,inactive,True,True,moderate,good,15.5,65.7,partly_cloudy,0.0,3.4,44.0,none_observed,"stage_power,hvac,emergency_lighting",,Stage rigging and HVAC produce intermittent creaks and cycling sounds. Protocol completed without deviation.
SITE_06_P04_A,SITE_06,Grand Lyric Theater,P04,A,,2026-03-17,20:30,30,30,completed,True,complete,complete,complete,synced,historic_theater,brick_wood_plaster,inactive,True,True,moderate,good,16.0,66.1,partly_cloudy,0.0,8.4,39.0,none_observed,"stage_power,hvac,emergency_lighting",,Stage rigging and HVAC produce intermittent creaks and cycling sounds. Protocol completed without deviation.
SITE_06_P05_A,SITE_06,Grand Lyric Theater,P05,A,,2026-03-17,21:10,30,30,completed,True,complete,complete,complete,synced,historic_theater,brick_wood_plaster,inactive,True,True,moderate,good,16.7,63.8,partly_cloudy,0.0,16.0,43.8,none_observed,"stage_power,hvac,emergency_lighting",,Stage rigging and HVAC produce intermittent creaks and cycling sounds. Protocol completed without deviation.
SITE_06_P06_A,SITE_06,Grand Lyric Theater,P06,A,,2026-03-17,21:50,30,30,completed,True,complete,complete,complete,synced,historic_theater,brick_wood_plaster,inactive,True,True,moderate,good,16.2,67.6,partly_cloudy,0.0,17.8,42.2,none_observed,"stage_power,hvac,emergency_lighting",,Stage rigging and HVAC produce intermittent creaks and cycling sounds. Protocol completed without deviation.
SITE_06_P07_A,SITE_06,Grand Lyric Theater,P07,A,,2026-03-17,22:30,30,30,completed,True,complete,complete,complete,synced,historic_theater,brick_wood_plaster,inactive,True,True,moderate,good,17.4,69.2,partly_cloudy,0.0,15.7,43.0,none_observed,"stage_power,hvac,emergency_lighting",,Stage rigging and HVAC produce intermittent creaks and cycling sounds. Protocol completed without deviation.
SITE_06_P08_A,SITE_06,Grand Lyric Theater,P08,A,,2026-03-17,23:10,30,20,interrupted,False,partial,partial,complete,partial,historic_theater,brick_wood_plaster,inactive,True,True,moderate,good,17.7,66.4,partly_cloudy,0.0,15.7,43.7,none_observed,"stage_power,hvac,emergency_lighting",sensor_sync_failure,Stage rigging and HVAC produce intermittent creaks and cycling sounds. Session interrupted (sensor sync failure); repeated as trial B.
SITE_06_P08_B,SITE_06,Grand Lyric Theater,P08,B,SITE_06_P08_A,2026-03-18,19:00,30,30,completed,True,complete,complete,complete,synced,historic_theater,brick_wood_plaster,inactive,True,True,moderate,good,18.1,69.1,partly_cloudy,0.0,2.1,44.4,none_observed,"stage_power,hvac,emergency_lighting",,Stage rigging and HVAC produce intermittent creaks and cycling sounds. Repeat of interrupted session; protocol completed without deviation.
SITE_06_P09_A,SITE_06,Grand Lyric Theater,P09,A,,2026-03-17,23:50,30,19,interrupted,False,partial,partial,complete,synced,historic_theater,brick_wood_plaster,inactive,True,True,moderate,good,15.3,68.4,partly_cloudy,0.0,8.0,41.5,none_observed,"stage_power,hvac,emergency_lighting",plumbing_activity,Stage rigging and HVAC produce intermittent creaks and cycling sounds. Session interrupted (plumbing activity); repeated as trial B.
SITE_06_P09_B,SITE_06,Grand Lyric Theater,P09,B,SITE_06_P09_A,2026-03-18,19:00,30,30,completed,True,complete,complete,complete,synced,historic_theater,brick_wood_plaster,inactive,True,True,moderate,good,15.8,67.0,partly_cloudy,0.0,13.5,42.3,none_observed,"stage_power,hvac,emergency_lighting",,Stage rigging and HVAC produce intermittent creaks and cycling sounds. Repeat of interrupted session; protocol completed without deviation.
SITE_06_P10_A,SITE_06,Grand Lyric Theater,P10,A,,2026-03-17,00:30,30,30,completed,True,complete,complete,complete,synced,historic_theater,brick_wood_plaster,inactive,True,True,moderate,good,16.9,67.4,partly_cloudy,0.0,3.6,45.0,none_observed,"stage_power,hvac,emergency_lighting",,Stage rigging and HVAC produce intermittent creaks and cycling sounds. Protocol completed without deviation.
SITE_07_P01_A,SITE_07,St. Agnes Historic Chapel,P01,A,,2026-03-20,18:30,30,30,completed,True,complete,complete,complete,synced,historic_chapel,stone_wood,inactive,True,True,low,fair,25.0,60.6,clear,0.0,15.5,41.2,none_observed,"lighting_panel,audio_system",,Stone walls create strong echo; audio system was unplugged for the study. Protocol completed without deviation.
SITE_07_P02_A,SITE_07,St. Agnes Historic Chapel,P02,A,,2026-03-20,19:10,30,30,completed,True,complete,complete,complete,synced,historic_chapel,stone_wood,inactive,True,True,low,fair,26.4,58.8,clear,0.0,17.8,40.2,none_observed,"lighting_panel,audio_system",,Stone walls create strong echo; audio system was unplugged for the study. Protocol completed without deviation.
SITE_07_P03_A,SITE_07,St. Agnes Historic Chapel,P03,A,,2026-03-20,19:50,30,30,completed,True,complete,complete,complete,synced,historic_chapel,stone_wood,inactive,True,True,low,fair,26.9,60.7,clear,0.0,11.7,40.1,none_observed,"lighting_panel,audio_system",,Stone walls create strong echo; audio system was unplugged for the study. Protocol completed without deviation.
SITE_07_P04_A,SITE_07,St. Agnes Historic Chapel,P04,A,,2026-03-20,20:30,30,30,completed,True,complete,complete,complete,synced,historic_chapel,stone_wood,inactive,True,True,low,fair,25.5,59.8,clear,0.0,11.6,34.1,none_observed,"lighting_panel,audio_system",,Stone walls create strong echo; audio system was unplugged for the study. Protocol completed without deviation.
SITE_07_P05_A,SITE_07,St. Agnes Historic Chapel,P05,A,,2026-03-20,21:10,30,30,completed,True,complete,complete,complete,synced,historic_chapel,stone_wood,inactive,True,True,low,fair,24.5,58.5,clear,0.0,15.0,30.3,none_observed,"lighting_panel,audio_system",,Stone walls create strong echo; audio system was unplugged for the study. Protocol completed without deviation.
SITE_07_P06_A,SITE_07,St. Agnes Historic Chapel,P06,A,,2026-03-20,21:50,30,30,completed,True,complete,complete,complete,synced,historic_chapel,stone_wood,inactive,True,True,low,fair,24.5,62.6,clear,0.0,14.9,35.6,none_observed,"lighting_panel,audio_system",,Stone walls create strong echo; audio system was unplugged for the study. Protocol completed without deviation.
SITE_07_P07_A,SITE_07,St. Agnes Historic Chapel,P07,A,,2026-03-20,22:30,30,30,completed,True,complete,complete,complete,synced,historic_chapel,stone_wood,inactive,True,True,low,fair,25.7,59.6,clear,0.0,6.3,31.9,none_observed,"lighting_panel,audio_system",,Stone walls create strong echo; audio system was unplugged for the study. Protocol completed without deviation.
SITE_07_P08_A,SITE_07,St. Agnes Historic Chapel,P08,A,,2026-03-20,23:10,30,30,completed,True,complete,complete,complete,synced,historic_chapel,stone_wood,inactive,True,True,low,fair,24.6,63.0,clear,0.0,16.1,39.9,none_observed,"lighting_panel,audio_system",,Stone walls create strong echo; audio system was unplugged for the study. Protocol completed without deviation.
SITE_07_P09_A,SITE_07,St. Agnes Historic Chapel,P09,A,,2026-03-20,23:50,30,30,completed,True,complete,complete,complete,synced,historic_chapel,stone_wood,inactive,True,True,low,fair,26.3,60.3,clear,0.0,11.9,32.6,none_observed,"lighting_panel,audio_system",,Stone walls create strong echo; audio system was unplugged for the study. Protocol completed without deviation.
SITE_07_P10_A,SITE_07,St. Agnes Historic Chapel,P10,A,,2026-03-20,00:30,30,30,completed,True,complete,complete,complete,synced,historic_chapel,stone_wood,inactive,True,True,low,fair,25.9,60.2,clear,0.0,15.3,32.9,none_observed,"lighting_panel,audio_system",,Stone walls create strong echo; audio system was unplugged for the study. Protocol completed without deviation.
SITE_08_P01_A,SITE_08,Briar House Basement,P01,A,,2026-03-23,18:30,30,30,completed,True,complete,complete,complete,synced,residential_basement,concrete_brick,occupied_building,True,True,low,poor,24.4,69.7,clear,0.0,4.6,41.2,none_observed,"sump_pump,furnace,water_heater",,Sump pump and furnace cycle during the night; occupants upstairs. Protocol completed without deviation.
SITE_08_P02_A,SITE_08,Briar House Basement,P02,A,,2026-03-23,19:10,30,30,completed,True,complete,complete,complete,synced,residential_basement,concrete_brick,occupied_building,True,True,low,poor,22.6,71.0,clear,0.0,2.8,44.9,none_observed,"sump_pump,furnace,water_heater",,Sump pump and furnace cycle during the night; occupants upstairs. Protocol completed without deviation.
