audio_review_id,event_id,session_id,site_id,participant_id,review_start_sec,review_end_sec,recorder_status,spirit_box_status,audio_result,audible_content,speech_intelligibility,radio_bleed_possible,environmental_source_possible,reviewer_confidence,explanation_status,review_notes
AR_0028,EVT_0037,SITE_03_P08_A,SITE_03,P08,360,510,recording,off,short_transient,brief isolated sound; source not identified,none,false,unknown,0.66,uncertain,Short transient precedes the physiological change in the raw recording; source not identified.
AR_0029,EVT_0039,SITE_04_P03_A,SITE_04,P03,1280,1420,recording,off,nothing_detected,no audible content in review window,none,false,false,0.89,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0030,EVT_0040,SITE_04_P04_A,SITE_04,P04,510,630,recording,on,nothing_detected,no audible content in review window,none,false,false,0.85,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0031,EVT_0041,SITE_04_P04_A,SITE_04,P04,640,770,recording,on,nothing_detected,no audible content in review window,none,false,false,0.86,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0032,EVT_0043,SITE_04_P05_A,SITE_04,P05,640,760,recording,on,mechanical_noise,mechanical cycling sound,none,false,true,0.81,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0033,EVT_0047,SITE_04_P08_A,SITE_04,P08,590,710,recording,off,nothing_detected,no audible content in review window,none,false,false,0.97,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0034,EVT_0049,SITE_04_P08_A,SITE_04,P08,1120,1250,recording,on,nothing_detected,no audible content in review window,none,false,false,0.87,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0035,EVT_0050,SITE_04_P08_A,SITE_04,P08,1250,1390,recording,off,short_transient,brief sound consistent with documented site activity,none,false,true,0.89,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0036,EVT_0052,SITE_04_P10_A,SITE_04,P10,1240,1370,recording,off,nothing_detected,no audible content in review window,none,false,true,0.77,probable,Isolated transient without multi-sensor correspondence.
AR_0037,EVT_0053,SITE_05_P01_A,SITE_05,P01,900,1030,recording,off,short_transient,brief low-level sound,none,false,unknown,0.75,uncertain,Audio review does not add evidence beyond the sensor deviation.
AR_0038,EVT_0056,SITE_05_P02_B,SITE_05,P02,330,450,recording,off,nothing_detected,no audible content in review window,none,false,false,0.96,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0039,EVT_0057,SITE_05_P02_B,SITE_05,P02,1050,1180,recording,off,environmental_noise,brief low-level sound,none,false,true,0.84,probable,Isolated transient without multi-sensor correspondence.
AR_0040,EVT_0058,SITE_05_P02_B,SITE_05,P02,1320,1460,recording,off,short_transient,brief low-level sound,none,false,false,0.67,uncertain,Weak or ambiguous audio correspondence; reviewer confidence limited.
AR_0041,EVT_0059,SITE_05_P03_A,SITE_05,P03,860,990,recording,off,short_transient,brief isolated sound; source not identified,none,false,false,0.7,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0042,EVT_0060,SITE_05_P03_A,SITE_05,P03,1320,1450,recording,off,short_transient,brief low-level sound,none,false,unknown,0.67,uncertain,Weak or ambiguous audio correspondence; reviewer confidence limited.
AR_0043,EVT_0063,SITE_05_P07_A,SITE_05,P07,380,500,recording,on,mechanical_noise,low mechanical hum and transient,none,false,true,0.83,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0044,EVT_0064,SITE_05_P07_A,SITE_05,P07,530,660,recording,on,voice_like,single transient with possible vocal quality,low,possible,unknown,0.6,uncertain,Voice-like fragment coincides with Spirit Box sweep; radio bleed cannot be excluded.
AR_0045,EVT_0065,SITE_05_P07_A,SITE_05,P07,670,810,recording,off,nothing_detected,no audible content in review window,none,false,false,0.9,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0046,EVT_0066,SITE_05_P07_A,SITE_05,P07,1320,1430,recording,off,mechanical_noise,low mechanical hum and transient,none,false,true,0.88,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0047,EVT_0067,SITE_05_P08_A,SITE_05,P08,980,1100,recording,off,short_transient,brief low-level sound,none,false,unknown,0.67,uncertain,Audio review does not add evidence beyond the sensor deviation.
AR_0048,EVT_0068,SITE_05_P10_A,SITE_05,P10,900,1040,recording,off,short_transient,brief isolated sound; source not identified,none,false,unknown,0.73,uncertain,Short transient precedes the physiological change in the raw recording; source not identified.
AR_0049,EVT_0070,SITE_06_P02_A,SITE_06,P02,830,960,recording,off,nothing_detected,no audible content in review window,none,false,false,0.92,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0050,EVT_0072,SITE_06_P06_A,SITE_06,P06,380,490,recording,on,environmental_noise,mechanical cycling sound,none,false,true,0.97,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0051,EVT_0073,SITE_06_P06_A,SITE_06,P06,880,1020,recording,off,nothing_detected,no audible content in review window,none,false,false,0.86,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0052,EVT_0074,SITE_06_P07_A,SITE_06,P07,320,450,recording,on,nothing_detected,no audible content in review window,none,false,false,0.92,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0053,EVT_0075,SITE_06_P07_A,SITE_06,P07,610,720,recording,off,nothing_detected,no audible content in review window,none,false,false,0.94,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0054,EVT_0076,SITE_06_P07_A,SITE_06,P07,840,970,recording,off,short_transient,brief isolated sound; source not identified,none,false,unknown,0.59,uncertain,Short transient precedes the physiological change in the raw recording; source not identified.
AR_0055,EVT_0080,SITE_06_P09_B,SITE_06,P09,500,610,recording,off,ambiguous_noise,brief low-level sound,none,false,unknown,0.51,uncertain,Weak or ambiguous audio correspondence; reviewer confidence limited.
AR_0056,EVT_0082,SITE_06_P09_B,SITE_06,P09,1200,1310,recording,off,nothing_detected,no audible content in review window,none,false,false,0.93,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0057,EVT_0083,SITE_07_P01_A,SITE_07,P01,680,810,recording,on,short_transient,brief low-level sound,none,false,unknown,0.84,uncertain,Isolated transient without multi-sensor correspondence.
AR_0058,EVT_0084,SITE_07_P02_A,SITE_07,P02,1220,1340,recording,off,ambiguous_noise,brief indistinct acoustic change,none,false,false,0.64,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0059,EVT_0085,SITE_07_P03_A,SITE_07,P03,1390,1500,recording,off,environmental_noise,no audible content in review window,none,false,true,0.86,probable,Isolated transient without multi-sensor correspondence.
AR_0060,EVT_0088,SITE_07_P06_A,SITE_07,P06,1150,1280,recording,off,short_transient,short transient matching the field log,none,false,unknown,0.78,uncertain,Isolated transient without multi-sensor correspondence.
AR_0061,EVT_0090,SITE_07_P09_A,SITE_07,P09,790,920,recording,on,voice_like,single transient with possible vocal quality,low,possible,unknown,0.58,uncertain,Voice-like fragment coincides with Spirit Box sweep; radio bleed cannot be excluded.
AR_0062,EVT_0093,SITE_08_P03_A,SITE_08,P03,330,450,recording,off,nothing_detected,no audible content in review window,none,false,false,0.94,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0063,EVT_0094,SITE_08_P03_A,SITE_08,P03,810,950,recording,on,short_transient,brief low-level sound,none,false,true,0.69,probable,Isolated transient without multi-sensor correspondence.
AR_0064,EVT_0095,SITE_08_P03_A,SITE_08,P03,1020,1140,recording,not_documented,mechanical_noise,mechanical cycling sound,none,false,true,0.88,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0065,EVT_0096,SITE_08_P04_A,SITE_08,P04,1150,1270,recording,on,nothing_detected,no audible content in review window,none,false,false,0.91,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0066,EVT_0098,SITE_08_P05_A,SITE_08,P05,990,1130,recording,off,nothing_detected,no audible content in review window,none,false,false,0.92,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0067,EVT_0100,SITE_08_P08_A,SITE_08,P08,330,470,recording,off,nothing_detected,no audible content in review window,none,false,false,0.9,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0068,EVT_0102,SITE_08_P09_A,SITE_08,P09,400,520,recording,on,mechanical_noise,environmental noise matching field notes,none,false,true,0.84,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0069,EVT_0103,SITE_08_P09_A,SITE_08,P09,630,750,recording,off,nothing_detected,no audible content in review window,none,false,false,0.9,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0070,EVT_0105,SITE_08_P09_A,SITE_08,P09,1240,1380,recording,off,nothing_detected,no audible content in review window,none,false,false,0.98,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0071,EVT_0107,SITE_08_P10_B,SITE_08,P10,1060,1200,recording,off,environmental_noise,mechanical cycling sound,none,false,true,0.85,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0072,EVT_0108,SITE_09_P02_A,SITE_09,P02,410,530,recording,off,mechanical_noise,environmental noise matching field notes,none,false,true,0.89,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0073,EVT_0109,SITE_09_P02_A,SITE_09,P02,580,720,recording,off,short_transient,brief low-level sound,none,false,unknown,0.58,uncertain,Weak or ambiguous audio correspondence; reviewer confidence limited.
AR_0074,EVT_0110,SITE_09_P03_A,SITE_09,P03,430,560,recording,not_documented,short_transient,no audible content in review window,none,false,unknown,0.84,uncertain,Isolated transient without multi-sensor correspondence.
AR_0075,EVT_0111,SITE_09_P03_A,SITE_09,P03,710,840,recording,off,nothing_detected,no audible content in review window,none,false,false,0.91,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0076,EVT_0112,SITE_09_P04_A,SITE_09,P04,470,580,recording,off,mechanical_noise,low mechanical hum and transient,none,false,true,0.83,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0077,EVT_0113,SITE_09_P04_A,SITE_09,P04,900,1010,recording,not_documented,short_transient,distant traffic or exterior noise,none,false,true,0.73,probable,Isolated transient without multi-sensor correspondence.
AR_0078,EVT_0114,SITE_09_P05_A,SITE_09,P05,410,550,recording,off,voice_like,faint speech-like fragment; unintelligible,low,false,false,0.79,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0079,EVT_0115,SITE_09_P05_A,SITE_09,P05,1340,1460,recording,off,mechanical_noise,mechanical cycling sound,none,false,true,0.83,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0080,EVT_0116,SITE_09_P06_A,SITE_09,P06,840,970,recording,on,mechanical_noise,environmental noise matching field notes,none,false,true,0.97,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0081,EVT_0117,SITE_09_P07_A,SITE_09,P07,1400,1530,recording,off,short_transient,brief low-level sound,none,false,unknown,0.67,uncertain,Audio review does not add evidence beyond the sensor deviation.
AR_0082,EVT_0118,SITE_09_P08_A,SITE_09,P08,650,790,recording,off,mechanical_noise,mechanical cycling sound,none,false,true,0.91,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0083,EVT_0119,SITE_09_P08_A,SITE_09,P08,1220,1340,recording,off,nothing_detected,brief low-level sound,none,false,unknown,0.76,uncertain,Isolated transient without multi-sensor correspondence.
AR_0084,EVT_0120,SITE_09_P09_A,SITE_09,P09,1120,1260,recording,on,environmental_noise,environmental noise matching field notes,none,false,true,0.88,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0085,EVT_0121,SITE_10_P01_A,SITE_10,P01,950,1070,recording,off,environmental_noise,brief sound consistent with documented site activity,none,false,true,0.81,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0086,EVT_0122,SITE_10_P02_A,SITE_10,P02,400,530,recording,off,nothing_detected,no audible content in review window,none,false,false,0.9,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0087,EVT_0123,SITE_10_P02_A,SITE_10,P02,550,660,recording,on,voice_like,single transient with possible vocal quality,low,possible,unknown,0.64,uncertain,Voice-like fragment coincides with Spirit Box sweep; radio bleed cannot be excluded.
AR_0088,EVT_0127,SITE_10_P06_A,SITE_10,P06,1240,1370,recording,on,nothing_detected,no audible content in review window,none,unknown,unknown,0.65,no_correspondence,Weak or ambiguous audio correspondence; reviewer confidence limited.
AR_0089,EVT_0128,SITE_10_P07_A,SITE_10,P07,540,660,recording,off,nothing_detected,no audible content in review window,none,false,true,0.69,probable,Isolated transient without multi-sensor correspondence.
AR_0090,EVT_0129,SITE_10_P08_A,SITE_10,P08,470,610,recording,not_documented,short_transient,no audible content in review window,none,false,true,0.67,probable,Isolated transient without multi-sensor correspondence.
AR_0091,EVT_0130,SITE_10_P08_A,SITE_10,P08,900,1030,recording,on,environmental_noise,short transient matching the field log,none,false,true,0.77,probable,Isolated transient without multi-sensor correspondence.
AR_0092,EVT_0131,SITE_10_P08_A,SITE_10,P08,1170,1310,recording,on,short_transient,brief low-level sound,none,false,unknown,0.73,uncertain,Isolated transient without multi-sensor correspondence.
AR_0093,EVT_0132,SITE_10_P10_A,SITE_10,P10,420,540,recording,off,mechanical_noise,low mechanical hum and transient,none,false,true,0.85,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0094,EVT_0133,SITE_10_P10_A,SITE_10,P10,910,1050,recording,on,short_transient,brief isolated sound; source not identified,none,unknown,unknown,0.64,uncertain,Short transient precedes the physiological change in the raw recording; source not identified.
AR_0095,EVT_0134,SITE_11_P01_A,SITE_11,P01,430,550,recording,off,environmental_noise,distant traffic or exterior noise,none,false,unknown,0.84,uncertain,Isolated transient without multi-sensor correspondence.
AR_0096,EVT_0135,SITE_11_P01_A,SITE_11,P01,1020,1150,recording,on,short_transient,brief isolated sound; source not identified,none,unknown,false,0.85,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0097,EVT_0136,SITE_11_P01_A,SITE_11,P01,1230,1350,recording,on,nothing_detected,no audible content in review window,none,false,false,0.94,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0098,EVT_0137,SITE_11_P03_A,SITE_11,P03,1380,1520,recording,off,nothing_detected,no audible content in review window,none,false,false,0.88,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0099,EVT_0138,SITE_11_P04_A,SITE_11,P04,420,530,recording,off,nothing_detected,no audible content in review window,none,false,false,0.87,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0100,EVT_0139,SITE_11_P05_A,SITE_11,P05,400,520,recording,on,voice_like,brief vocal-like fragment; wording not reliable,low,unknown,unknown,0.63,uncertain,Voice-like fragment coincides with Spirit Box sweep; radio bleed cannot be excluded.
AR_0101,EVT_0140,SITE_11_P06_A,SITE_11,P06,1140,1250,recording,off,short_transient,environmental noise matching field notes,none,false,true,0.84,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0102,EVT_0141,SITE_11_P08_A,SITE_11,P08,450,570,recording,off,short_transient,brief low-level sound,none,false,true,0.66,probable,Isolated transient without multi-sensor correspondence.
AR_0103,EVT_0142,SITE_11_P08_A,SITE_11,P08,1040,1160,recording,off,nothing_detected,no audible content in review window,none,false,unknown,0.68,no_correspondence,Weak or ambiguous audio correspondence; reviewer confidence limited.
AR_0104,EVT_0143,SITE_12_P02_A,SITE_12,P02,750,870,recording,on,nothing_detected,no audible content in review window,none,false,false,0.94,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0105,EVT_0144,SITE_12_P03_A,SITE_12,P03,1280,1390,recording,on,nothing_detected,no audible content in review window,none,false,unknown,0.63,no_correspondence,Audio review does not add evidence beyond the sensor deviation.
AR_0106,EVT_0145,SITE_12_P04_A,SITE_12,P04,460,600,recording,off,short_transient,brief isolated sound; source not identified,none,false,false,0.59,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0107,EVT_0146,SITE_12_P04_A,SITE_12,P04,690,810,recording,off,short_transient,brief isolated sound; source not identified,none,false,unknown,0.65,uncertain,Short transient precedes the physiological change in the raw recording; source not identified.
AR_0108,EVT_0148,SITE_12_P06_A,SITE_12,P06,390,520,recording,on,nothing_detected,no audible content in review window,none,false,false,0.92,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0109,EVT_0150,SITE_12_P06_A,SITE_12,P06,1210,1340,recording,on,mechanical_noise,mechanical cycling sound,none,false,true,0.94,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0110,EVT_0151,SITE_12_P07_A,SITE_12,P07,410,540,recording,on,mechanical_noise,mechanical cycling sound,none,false,true,0.85,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0111,EVT_0152,SITE_12_P07_A,SITE_12,P07,1330,1470,recording,on,nothing_detected,no audible content in review window,none,false,false,0.92,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0112,EVT_0155,SITE_13_P01_A,SITE_13,P01,430,560,recording,on,mechanical_noise,mechanical cycling sound,none,false,true,0.84,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0113,EVT_0156,SITE_13_P01_A,SITE_13,P01,560,690,recording,on,nothing_detected,no audible content in review window,none,false,false,0.96,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0114,EVT_0157,SITE_13_P01_A,SITE_13,P01,770,900,recording,off,nothing_detected,no audible content in review window,none,false,false,0.95,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0115,EVT_0158,SITE_13_P01_A,SITE_13,P01,960,1080,recording,off,short_transient,brief low-level sound,none,false,false,0.57,uncertain,Weak or ambiguous audio correspondence; reviewer confidence limited.
AR_0116,EVT_0160,SITE_13_P02_A,SITE_13,P02,1090,1230,recording,on,voice_like,single transient with possible vocal quality,low,possible,unknown,0.61,uncertain,Voice-like fragment coincides with Spirit Box sweep; radio bleed cannot be excluded.
AR_0117,EVT_0163,SITE_13_P06_A,SITE_13,P06,330,450,recording,off,nothing_detected,no audible content in review window,none,false,unknown,0.65,uncertain,Isolated transient without multi-sensor correspondence.
AR_0118,EVT_0164,SITE_13_P06_A,SITE_13,P06,710,840,recording,on,mechanical_noise,environmental noise matching field notes,none,false,true,0.95,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0119,EVT_0166,SITE_13_P07_A,SITE_13,P07,890,1010,recording,on,nothing_detected,no audible content in review window,none,false,false,0.88,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0120,EVT_0167,SITE_13_P07_A,SITE_13,P07,1250,1360,recording,on,short_transient,brief low-level sound,none,false,unknown,0.86,uncertain,Isolated transient without multi-sensor correspondence.
AR_0121,EVT_0168,SITE_13_P08_A,SITE_13,P08,1280,1410,recording,on,nothing_detected,no audible content in review window,none,false,false,0.87,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0122,EVT_0171,SITE_13_P09_B,SITE_13,P09,1320,1460,recording,off,nothing_detected,no audible content in review window,none,false,false,0.88,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0123,EVT_0172,SITE_13_P10_A,SITE_13,P10,310,430,recording,on,short_transient,environmental noise matching field notes,none,false,true,0.85,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0124,EVT_0173,SITE_13_P10_A,SITE_13,P10,470,610,recording,off,mechanical_noise,mechanical cycling sound,none,false,true,0.85,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0125,EVT_0174,SITE_13_P10_A,SITE_13,P10,670,800,recording,off,nothing_detected,no audible content in review window,none,false,false,0.92,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0126,EVT_0175,SITE_14_P01_A,SITE_14,P01,300,440,recording,off,voice_like,short low-level sound with speech-like cadence,low,false,false,0.57,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0127,EVT_0177,SITE_14_P01_A,SITE_14,P01,820,950,recording,on,short_transient,short transient matching the field log,none,false,true,0.85,probable,Isolated transient without multi-sensor correspondence.
AR_0128,EVT_0180,SITE_14_P02_A,SITE_14,P02,460,610,recording,off,short_transient,brief isolated sound; source not identified,none,false,unknown,0.64,uncertain,Short transient precedes the physiological change in the raw recording; source not identified.
AR_0129,EVT_0181,SITE_14_P03_A,SITE_14,P03,500,620,recording,on,short_transient,brief isolated sound; source not identified,none,unknown,false,0.78,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0130,EVT_0183,SITE_14_P05_A,SITE_14,P05,660,800,recording,on,nothing_detected,no audible content in review window,none,unknown,unknown,0.46,no_correspondence,Weak or ambiguous audio correspondence; reviewer confidence limited.
AR_0131,EVT_0185,SITE_14_P05_A,SITE_14,P05,1080,1210,recording,on,voice_like,single transient with possible vocal quality,low,possible,unknown,0.49,uncertain,Voice-like fragment coincides with Spirit Box sweep; radio bleed cannot be excluded.
AR_0132,EVT_0186,SITE_14_P06_A,SITE_14,P06,550,660,recording,on,nothing_detected,no audible content in review window,none,false,false,0.9,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0133,EVT_0187,SITE_14_P06_A,SITE_14,P06,770,900,recording,on,voice_like,short low-level sound with speech-like cadence,low,unknown,false,0.62,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0134,EVT_0188,SITE_14_P06_A,SITE_14,P06,1040,1160,recording,off,nothing_detected,no audible content in review window,none,false,false,0.52,no_correspondence,Weak or ambiguous audio correspondence; reviewer confidence limited.
AR_0135,EVT_0189,SITE_14_P06_A,SITE_14,P06,1250,1380,recording,on,short_transient,brief low-level sound,none,false,true,0.73,probable,Isolated transient without multi-sensor correspondence.
AR_0136,EVT_0190,SITE_14_P07_A,SITE_14,P07,450,580,recording,on,nothing_detected,no audible content in review window,none,false,false,0.93,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0137,EVT_0191,SITE_14_P07_A,SITE_14,P07,640,780,recording,off,voice_like,faint speech-like fragment; unintelligible,low,false,false,0.69,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0138,EVT_0192,SITE_14_P07_A,SITE_14,P07,1130,1250,recording,on,nothing_detected,brief low-level sound,none,false,unknown,0.88,uncertain,Isolated transient without multi-sensor correspondence.
AR_0139,EVT_0193,SITE_14_P08_A,SITE_14,P08,700,820,recording,on,nothing_detected,no audible content in review window,none,false,false,0.94,no_correspondence,Control review: no audio correspondence with the sensor event.
AR_0140,EVT_0194,SITE_14_P08_A,SITE_14,P08,1070,1190,recording,off,voice_like,faint speech-like fragment; unintelligible,low,false,false,0.74,unresolved,Independent recorder captured a sound with no documented environmental source.
AR_0141,EVT_0195,SITE_14_P08_A,SITE_14,P08,1370,1500,recording,off,mechanical_noise,low mechanical hum and transient,none,false,true,0.92,probable,Independent audio is consistent with the environmental explanation documented for the event.
AR_0142,EVT_0196,SITE_14_P09_A,SITE_14,P09,530,640,recording,on,nothing_detected,no audible content in review window,none,false,false,0.88,no_correspondence,Control review: no audio correspondence with the sensor event.
